id,model_answer,confidence,correct_answer,is_correct
52,2,5,2,1
179,0,5,0,1
83,3,4,1,0
212,0,5,0,1
105,1,5,1,1
29,3,5,2,0
215,1,5,1,1
102,3,5,2,0
55,1,5,1,1
269,1,5,1,1
84,3,5,1,0
27,1,5,1,1
267,4,5,4,1
170,1,5,1,1
260,4,5,4,1
177,4,4,4,1
20,3,4,1,0
142,0,5,0,1
284,2,4,0,0
255,2,5,2,1
193,3,5,3,1
69,1,5,1,1
229,0,5,0,1
15,2,5,1,0
139,3,5,3,1
12,0,5,0,1
145,3,5,4,0
283,4,5,4,1
252,4,5,4,1
194,3,5,3,1
137,4,5,4,1
220,3,5,4,0
304,1,5,1,1
60,3,4,3,1
303,1,5,1,1
67,0,5,0,1
130,2,5,2,1
227,4,5,3,0
76,2,5,2,1
236,3,5,3,1
121,3,5,1,0
231,0,4,1,0
126,4,5,4,1
71,3,5,3,1
128,3,5,3,1
243,2,5,2,1
185,0,5,0,1
154,3,5,3,1
292,3,5,3,1
244,1,4,3,0
182,0,5,0,1
78,2,5,2,1
153,0,5,0,1
295,2,3,0,0
238,0,5,0,1
7,2,5,2,1
166,4,5,4,1
271,2,5,2,1
31,3,5,3,1
36,3,5,3,1
161,4,4,3,0
0,0,5,0,1
276,2,5,2,1
113,3,5,2,0
38,3,5,3,1
204,0,5,3,0
95,0,5,1,0
44,1,5,4,0
278,2,5,4,0
168,1,5,1,1
9,4,5,0,0
92,4,4,1,0
43,3,5,3,1
114,3,5,3,1
203,2,5,2,1
302,3,5,3,1
66,1,5,1,1
131,1,5,1,1
226,3,5,4,0
136,4,5,4,1
221,2,5,0,0
305,0,5,0,1
61,1,5,1,1
138,0,5,0,1
13,0,5,0,1
144,3,3,0,0
282,1,5,1,1
253,1,5,0,0
195,4,5,1,0
143,3,5,3,1
285,1,5,1,1
254,1,5,1,1
192,3,5,3,1
68,2,4,2,1
228,1,4,0,0
14,3,5,4,0
261,1,5,1,1
176,1,5,1,1
21,1,5,1,1
26,3,5,3,1
266,1,5,1,1
171,2,5,1,0
28,2,5,2,1
214,4,5,4,1
103,4,5,4,1
54,4,5,0,0
268,4,5,1,0
85,1,5,1,1
53,1,5,1,1
178,2,5,2,1
82,3,5,3,1
213,1,5,1,1
104,0,2,1,0
169,2,5,2,1
93,4,5,4,1
8,2,5,3,0
42,4,5,4,1
115,0,5,0,1
202,3,5,3,1
112,2,5,2,1
39,0,5,0,1
205,4,5,4,1
94,1,4,1,1
45,3,5,4,0
279,1,4,0,0
37,1,5,1,1
160,0,5,0,1
1,3,5,3,1
277,2,5,2,1
6,0,5,0,1
167,0,5,0,1
270,4,4,4,1
30,4,5,0,0
245,1,5,1,1
183,1,5,4,0
79,3,5,0,0
152,2,5,2,1
294,1,5,2,0
239,2,5,2,1
129,0,5,0,1
242,3,5,3,1
184,4,5,4,1
155,0,5,0,1
293,4,4,0,0
230,4,5,4,1
127,1,5,2,0
70,3,5,4,0
77,2,3,0,0
237,4,5,4,1
120,3,5,2,0
111,4,5,4,1
206,4,5,4,1
97,2,5,2,1
46,4,5,1,0
90,4,5,0,0
41,3,5,3,1
116,3,5,4,0
201,3,5,3,1
164,4,5,4,1
5,3,5,2,0
273,2,5,2,1
118,1,5,1,1
33,0,5,1,0
208,3,5,1,0
34,3,5,3,1
99,3,5,3,1
2,0,5,0,1
163,1,5,1,1
274,2,4,3,0
48,1,5,1,1
187,3,4,1,0
241,2,5,1,0
290,3,5,2,0
156,4,5,4,1
180,3,5,3,1
246,3,5,0,0
297,2,5,3,0
151,2,5,3,0
74,2,3,2,1
248,4,5,2,0
299,4,5,4,1
234,3,2,0,0
123,1,5,1,1
233,3,5,3,1
124,4,5,4,1
73,4,5,4,1
189,1,5,1,1
158,2,5,2,1
135,0,5,0,1
222,4,5,1,0
306,3,5,3,1
149,3,5,3,1
62,0,3,1,0
198,3,5,3,1
301,1,5,0,0
288,3,5,3,1
65,3,5,3,1
259,2,5,2,1
132,2,5,2,1
19,1,5,1,1
225,0,5,0,1
286,4,4,4,1
140,1,5,1,1
191,4,5,4,1
257,0,5,4,0
17,2,5,2,1
10,2,5,2,1
281,2,4,0,0
147,0,5,4,0
196,3,5,1,0
250,3,5,3,1
219,0,5,3,0
25,1,5,1,1
265,1,5,1,1
59,3,5,3,1
88,2,5,2,1
172,0,5,0,1
262,0,5,0,1
175,3,5,1,0
22,0,5,3,0
109,0,5,0,1
50,3,5,3,1
81,4,5,4,1
210,3,5,3,1
107,2,5,2,1
217,2,4,2,1
100,0,5,1,0
57,2,5,2,1
86,2,4,1,0
232,1,5,1,1
125,2,5,3,0
72,0,5,1,0
188,4,5,4,1
159,1,5,2,0
75,1,5,1,1
249,3,4,4,0
298,2,5,0,0
235,2,4,2,1
122,2,5,2,1
181,0,5,0,1
247,0,5,0,1
296,2,5,2,1
150,4,5,4,1
186,0,5,0,1
240,1,4,1,1
291,1,5,1,1
157,2,5,0,0
209,2,3,2,1
35,0,5,0,1
3,1,5,1,1
98,2,4,3,0
162,3,5,3,1
275,2,5,4,0
49,4,5,4,1
165,3,5,3,1
4,1,5,1,1
272,2,4,4,0
119,2,5,2,1
32,4,3,3,0
91,3,5,3,1
40,3,5,3,1
117,2,4,2,1
200,4,5,4,1
110,2,5,2,1
207,3,5,3,1
96,3,5,3,1
47,3,5,3,1
216,2,5,1,0
101,0,5,0,1
56,1,4,2,0
87,0,5,0,1
51,2,5,2,1
80,4,5,4,1
211,0,5,0,1
106,0,5,0,1
263,0,3,0,1
174,3,5,3,1
23,4,5,4,1
108,1,5,1,1
218,3,5,3,1
24,3,5,3,1
264,4,5,1,0
58,3,5,3,1
89,4,5,1,0
173,2,4,3,0
11,2,5,2,1
280,2,5,3,0
146,1,5,1,1
197,0,5,4,0
251,0,3,0,1
287,4,5,0,0
141,3,5,0,0
190,3,5,3,1
256,2,5,2,1
16,0,5,0,1
300,2,5,2,1
289,1,5,1,1
64,2,5,2,1
258,1,5,1,1
133,1,5,1,1
18,1,4,1,1
224,2,5,4,0
134,4,5,3,0
223,0,4,0,1
307,4,5,3,0
148,3,5,3,1
63,4,5,4,1
199,2,5,4,0
