id,model_answer,confidence,correct_answer,is_correct
1022,3,5,3,1
255,0,5,0,1
980,1,5,3,0
634,3,5,2,0
193,0,5,0,1
1335,1,4,5,0
24,0,5,0,1
142,0,5,0,1
284,0,5,0,1
951,3,5,3,1
523,1,5,1,1
809,2,5,2,1
229,3,5,0,0
89,0,5,0,1
648,2,5,2,1
1349,0,4,5,0
699,2,5,2,1
58,0,5,0,1
1211,4,5,5,0
407,1,5,1,1
875,3,5,3,1
6,0,5,0,1
1106,4,5,4,1
371,1,5,1,1
710,2,3,2,1
589,2,5,2,1
1059,3,4,3,1
139,1,5,0,0
1088,3,5,3,1
558,1,5,1,1
1216,2,3,5,0
1,0,5,0,1
872,3,5,3,1
400,1,5,1,1
376,1,5,1,1
1101,2,3,4,0
717,3,5,2,0
987,3,5,3,1
252,0,5,0,1
1025,3,3,3,1
194,0,5,0,1
633,2,5,2,1
145,0,5,0,1
23,0,5,0,1
1332,3,4,5,0
524,1,3,1,1
956,3,5,3,1
283,3,5,0,0
1057,3,5,3,1
220,0,5,0,1
587,2,5,2,1
641,1,5,2,0
80,0,5,0,1
1340,0,4,5,0
51,0,5,0,1
690,2,5,2,1
137,3,4,0,0
556,1,5,1,1
924,3,5,3,1
1086,4,5,3,0
1218,4,5,5,0
378,1,5,1,1
719,2,5,2,1
989,2,5,3,0
958,3,5,3,1
1264,1,5,5,0
800,2,5,2,1
472,1,5,1,1
1173,4,5,4,1
304,1,5,1,1
765,4,5,2,0
1263,1,5,5,0
475,1,5,1,1
807,2,5,2,1
303,1,5,1,1
1174,4,5,4,1
762,2,5,2,1
580,2,5,2,1
227,0,5,0,1
1050,3,5,3,1
646,2,5,2,1
87,0,5,0,1
130,0,5,0,1
56,0,3,0,1
697,2,5,2,1
1347,2,5,5,0
1081,3,5,3,1
923,3,5,3,1
551,1,5,1,1
8,0,5,0,1
409,1,5,1,1
1108,4,5,4,1
518,1,5,1,1
179,0,5,0,1
1019,3,5,3,1
1287,5,5,5,1
757,2,5,2,1
491,1,5,1,1
336,1,5,1,1
1141,0,5,4,0
1190,0,5,4,0
440,1,5,1,1
832,2,5,2,1
786,2,5,2,1
1256,2,5,5,0
916,3,5,3,1
564,2,5,1,0
63,0,5,0,1
105,0,5,0,1
1372,0,5,5,0
673,2,5,2,1
212,0,5,0,1
1065,3,5,3,1
563,1,5,1,1
911,3,5,3,1
102,0,5,0,1
64,2,5,0,0
674,2,5,2,1
1062,3,5,3,1
215,0,5,0,1
898,3,5,3,1
849,2,5,2,1
1309,3,4,5,0
18,0,5,0,1
608,2,5,2,1
269,0,5,0,1
750,2,5,2,1
1280,3,5,5,0
1146,3,5,4,0
331,1,5,1,1
496,2,5,1,0
835,2,5,2,1
447,1,5,1,1
1197,2,5,4,0
1251,1,5,5,0
781,2,5,2,1
722,2,5,2,1
896,3,5,3,1
343,1,5,1,1
1134,2,5,4,0
847,2,5,2,1
435,1,5,1,1
392,1,5,1,1
1223,3,5,5,0
511,1,5,1,1
963,3,5,3,1
16,0,5,0,1
170,0,5,0,1
1307,4,5,5,0
606,2,5,2,1
267,0,5,0,1
1010,3,5,3,1
498,2,5,1,0
1148,2,5,4,0
1199,4,5,4,1
449,1,5,1,1
964,2,5,3,0
516,1,5,1,1
1300,0,5,5,0
177,0,5,0,1
11,2,5,0,0
601,2,5,2,1
1017,3,5,3,1
260,1,5,0,0
759,2,5,2,1
1289,2,4,5,0
338,2,5,1,0
1258,0,5,5,0
788,2,4,2,1
918,3,5,3,1
725,2,5,2,1
1133,4,5,4,1
344,2,5,1,0
891,0,3,3,0
395,1,5,1,1
432,1,5,1,1
840,2,5,2,1
1224,3,5,5,0
1249,1,5,5,0
799,2,5,2,1
748,2,5,2,1
1298,1,5,5,0
329,1,5,1,1
610,2,5,2,1
1006,3,5,3,1
271,4,4,0,0
507,1,5,1,1
975,3,5,3,1
1311,3,5,5,0
166,0,5,0,1
851,2,5,2,1
423,1,5,1,1
384,1,5,1,1
1235,2,5,5,0
734,2,4,2,1
1122,4,5,4,1
880,3,5,3,1
355,1,5,1,1
909,3,5,3,1
383,1,5,1,1
424,1,5,1,1
856,2,5,2,1
1232,2,5,5,0
733,2,5,2,1
352,2,5,1,0
887,3,5,3,1
1125,4,5,4,1
1188,0,5,4,0
458,1,5,1,1
489,1,5,1,1
1159,4,5,4,1
617,2,5,2,1
276,0,5,0,1
1001,3,5,3,1
972,3,5,3,1
500,1,5,1,1
161,0,5,0,1
1316,2,4,5,0
858,2,5,2,1
889,3,5,3,1
665,2,5,2,1
1073,3,5,3,1
204,0,5,0,1
900,3,5,3,1
572,2,5,2,1
1364,1,4,5,0
75,0,5,0,1
113,0,5,0,1
456,1,5,1,1
824,2,5,2,1
1186,3,5,4,0
1240,2,3,5,0
790,2,5,2,1
741,2,5,2,1
1291,1,4,5,0
1157,4,5,4,1
487,1,5,1,1
320,1,5,1,1
619,2,5,2,1
278,0,5,0,1
1318,2,5,5,0
1181,4,5,4,1
823,2,5,2,1
451,1,5,1,1
797,2,5,2,1
1247,0,3,5,0
1296,2,4,5,0
746,2,5,2,1
327,1,5,1,1
480,1,5,1,1
1150,4,5,4,1
1008,3,5,3,1
509,3,5,1,0
168,0,5,0,1
662,3,5,2,0
203,0,5,0,1
1074,3,5,3,1
575,2,5,2,1
907,1,4,3,0
114,0,5,0,1
72,0,5,0,1
1363,1,5,5,0
312,4,5,1,0
1165,4,5,4,1
773,2,5,2,1
1272,2,5,5,0
816,2,5,2,1
464,1,5,1,1
1119,1,4,4,0
418,1,5,1,1
47,0,5,0,1
686,2,5,2,1
121,0,5,0,1
1356,1,5,5,0
1090,3,5,3,1
540,1,5,1,1
932,3,5,3,1
236,0,5,0,1
591,2,5,2,1
1041,3,5,3,1
657,2,5,2,1
96,0,5,0,1
369,1,5,1,1
708,2,2,2,1
1209,4,4,4,1
1351,2,3,5,0
126,2,5,0,0
40,4,5,0,0
681,2,5,2,1
935,3,5,3,1
547,1,5,1,1
1097,4,5,4,1
1046,3,5,3,1
596,2,5,2,1
231,0,5,0,1
650,2,5,2,1
91,0,5,0,1
1162,4,5,4,1
315,1,5,1,1
774,2,4,2,1
1275,0,4,5,0
463,1,5,1,1
811,2,5,2,1
949,3,5,3,1
998,3,5,3,1
367,1,5,1,1
1110,3,5,4,0
706,2,5,2,1
1207,3,4,4,0
411,2,5,1,0
863,3,5,3,1
128,0,5,0,1
1099,4,5,4,1
549,2,5,1,0
598,2,5,2,1
1048,3,5,3,1
32,0,4,0,1
154,0,5,0,1
1323,0,5,5,0
292,0,5,0,1
947,3,5,3,1
535,1,5,1,1
243,0,5,0,1
996,3,5,3,1
1034,3,5,3,1
622,2,5,2,1
185,0,5,0,1
818,2,5,2,1
1324,0,3,5,0
153,0,5,0,1
35,0,5,0,1
532,1,5,1,1
940,3,5,3,1
295,4,5,0,0
1033,2,3,3,0
991,3,5,3,1
244,0,5,0,1
182,0,5,0,1
625,2,5,2,1
1117,0,4,4,0
360,1,5,1,1
701,2,5,2,1
1200,1,5,4,0
864,3,4,3,1
416,1,5,1,1
1358,3,4,5,0
688,3,5,2,0
49,0,4,0,1
238,0,5,0,1
98,0,5,0,1
659,2,5,2,1
965,3,5,3,1
517,1,5,1,1
1301,3,5,5,0
10,0,5,0,1
176,0,5,0,1
600,2,5,2,1
1016,0,3,3,0
261,0,5,0,1
758,2,5,2,1
1288,0,5,5,0
339,1,5,1,1
1259,3,5,5,0
789,2,5,2,1
919,3,5,3,1
724,2,5,2,1
1132,4,5,4,1
890,3,5,3,1
345,4,5,1,0
433,4,5,1,0
841,2,5,2,1
394,2,4,1,0
1225,2,5,5,0
723,2,5,2,1
342,1,5,1,1
897,3,5,3,1
1135,4,5,4,1
393,1,5,1,1
846,2,5,2,1
434,1,5,1,1
1222,1,5,5,0
510,2,4,1,0
962,3,5,3,1
171,0,5,0,1
17,0,5,0,1
1306,2,5,5,0
607,2,5,2,1
266,0,5,0,1
1011,3,5,3,1
499,1,5,1,1
1149,4,5,4,1
1198,4,5,4,1
448,4,4,1,0
562,1,5,1,1
910,3,5,3,1
65,0,5,0,1
103,0,5,0,1
675,3,5,2,0
1063,3,5,3,1
214,0,5,0,1
899,3,5,3,1
848,2,5,2,1
1308,0,3,5,0
19,3,4,0,0
609,2,5,2,1
268,0,5,0,1
751,2,5,2,1
1281,0,5,5,0
1147,4,5,4,1
497,1,5,1,1
330,1,5,1,1
834,2,5,2,1
446,1,5,1,1
1196,2,5,4,0
1250,2,5,5,0
780,2,5,2,1
519,1,5,1,1
178,0,4,0,1
1018,3,5,3,1
1286,1,5,5,0
756,2,4,2,1
337,1,5,1,1
490,0,5,1,0
1140,4,5,4,1
1191,2,5,4,0
441,1,5,1,1
833,2,5,2,1
787,2,5,2,1
1257,0,5,5,0
917,3,5,3,1
565,4,5,1,0
104,0,5,0,1
62,0,5,0,1
672,2,5,2,1
213,0,5,0,1
1064,3,5,3,1
1262,2,5,5,0
474,1,5,1,1
806,2,5,2,1
302,1,5,1,1
1175,4,5,4,1
763,2,5,2,1
226,0,5,0,1
581,2,5,2,1
1051,3,5,3,1
86,0,5,0,1
647,2,5,2,1
696,2,5,2,1
57,0,3,0,1
131,0,4,0,1
1346,0,3,5,0
1080,3,5,3,1
922,3,5,3,1
550,1,5,1,1
9,0,5,0,1
408,1,5,1,1
1109,4,5,4,1
1056,3,5,3,1
586,2,5,2,1
221,0,5,0,1
81,0,5,0,1
640,4,5,2,0
136,0,4,0,1
691,2,5,2,1
50,0,5,0,1
