id,model_answer,confidence,correct_answer,is_correct
0,2,5,3,0
1,0,5,0,1
2,3,5,2,0
3,3,5,0,0
4,0,5,1,0
5,3,5,3,1
6,2,4,3,0
7,1,5,1,1
8,2,4,3,0
9,3,5,3,1
10,0,5,0,1
12,2,4,3,0
13,2,5,2,1
14,2,5,3,0
15,1,5,1,1
16,1,4,3,0
17,3,5,3,1
18,1,5,1,1
19,1,5,1,1
20,3,4,1,0
21,3,5,3,1
22,1,5,1,1
23,3,4,2,0
24,3,5,3,1
25,0,5,0,1
26,2,5,3,0
27,0,5,0,1
28,0,5,0,1
29,2,5,0,0
30,1,5,1,1
31,2,5,0,0
32,2,4,3,0
33,1,5,1,1
34,3,5,3,1
35,3,5,2,0
36,3,4,1,0
37,3,5,3,1
38,1,5,1,1
39,3,5,3,1
40,0,5,0,1
41,1,5,0,0
42,2,5,2,1
44,0,4,0,1
45,0,5,0,1
46,3,5,3,1
47,0,4,0,1
48,2,5,3,0
49,1,5,1,1
50,1,5,1,1
51,1,5,0,0
52,3,5,3,1
53,3,5,3,1
54,3,5,1,0
55,1,5,1,1
56,2,5,1,0
57,3,4,1,0
58,1,4,1,1
59,3,5,3,1
60,1,5,2,0
61,3,5,3,1
62,3,5,3,1
63,0,5,0,1
64,3,5,3,1
65,3,5,3,1
66,3,5,3,1
67,3,5,0,0
68,3,5,3,1
69,3,4,0,0
70,3,5,3,1
71,3,5,2,0
72,0,5,0,1
73,1,5,0,0
74,3,5,3,1
75,3,5,3,1
76,2,5,2,1
77,0,3,1,0
78,3,5,1,0
79,2,4,2,1
80,1,3,3,0
81,2,5,0,0
82,1,5,1,1
83,0,5,0,1
84,2,5,3,0
85,1,5,1,1
86,2,5,2,1
87,3,5,3,1
88,0,5,0,1
89,0,3,0,1
90,3,5,3,1
91,0,5,0,1
92,2,5,2,1
93,0,5,0,1
94,0,5,2,0
95,2,5,3,0
96,2,5,3,0
97,0,4,3,0
98,3,5,3,1
99,2,5,2,1
100,3,5,3,1
101,3,5,0,0
102,0,5,0,1
103,3,5,3,1
104,3,5,3,1
105,0,5,0,1
106,3,5,3,1
107,0,5,0,1
108,2,4,0,0
110,0,5,1,0
111,1,5,1,1
112,3,4,0,0
113,2,5,2,1
114,3,4,3,1
115,2,5,0,0
116,2,5,2,1
117,2,5,2,1
118,2,5,2,1
119,0,5,0,1
120,0,5,0,1
121,3,4,3,1
122,3,5,3,1
123,2,5,0,0
124,2,5,2,1
125,2,5,2,1
126,2,5,2,1
127,2,5,2,1
128,1,5,1,1
129,2,5,2,1
130,3,5,3,1
131,0,5,0,1
132,1,5,1,1
133,2,5,2,1
134,3,5,3,1
135,1,5,1,1
136,3,5,3,1
137,3,5,3,1
138,3,5,3,1
139,3,5,3,1
140,2,5,2,1
141,1,5,1,1
142,3,5,3,1
143,1,5,1,1
144,3,5,3,1
145,2,5,2,1
146,3,5,3,1
147,3,5,3,1
148,0,5,0,1
149,1,5,1,1
150,3,5,3,1
151,0,4,0,1
152,3,5,3,1
153,3,5,3,1
154,1,5,1,1
155,3,4,3,1
156,1,5,1,1
157,1,5,1,1
158,2,5,2,1
159,0,5,0,1
160,1,4,1,1
161,3,5,3,1
162,0,4,0,1
163,0,4,0,1
164,2,5,2,1
165,2,5,2,1
166,2,5,2,1
167,1,5,1,1
168,0,5,0,1
169,0,5,0,1
170,3,5,3,1
171,3,5,3,1
172,1,5,1,1
173,3,5,3,1
174,3,5,2,0
175,2,5,2,1
176,3,5,3,1
177,3,5,3,1
178,2,5,2,1
179,3,5,3,1
180,3,5,3,1
181,2,5,2,1
182,3,5,3,1
183,3,5,3,1
184,3,5,3,1
185,2,5,2,1
186,1,5,1,1
187,1,5,1,1
188,3,5,3,1
189,2,5,2,1
190,1,5,1,1
191,0,5,0,1
192,3,4,2,0
193,3,5,3,1
194,3,5,3,1
195,1,5,1,1
196,3,5,3,1
197,1,5,1,1
198,3,5,3,1
199,2,5,2,1
200,3,5,3,1
201,0,5,0,1
202,1,5,1,1
203,0,4,0,1
204,3,5,3,1
205,3,5,3,1
206,3,5,3,1
207,1,5,1,1
208,0,1,0,1
209,1,5,1,1
210,0,5,0,1
211,1,5,1,1
212,1,5,1,1
213,3,5,3,1
214,1,5,1,1
215,3,5,3,1
216,1,5,1,1
217,3,5,3,1
218,1,5,1,1
219,3,5,3,1
220,0,5,0,1
221,1,5,3,0
222,0,5,0,1
223,1,5,1,1
224,3,5,3,1
225,2,5,2,1
226,1,5,1,1
227,0,5,0,1
228,2,5,2,1
229,3,5,3,1
230,2,5,2,1
231,2,5,2,1
232,3,5,3,1
233,1,5,1,1
234,3,5,3,1
235,0,5,0,1
236,0,5,0,1
237,2,5,2,1
238,3,5,3,1
239,0,5,0,1
240,1,5,1,1
241,3,5,3,1
242,1,5,1,1
243,3,5,3,1
244,2,5,2,1
245,2,5,2,1
246,2,5,2,1
247,0,5,0,1
248,2,5,2,1
249,3,5,3,1
250,0,5,0,1
251,3,5,3,1
252,3,5,3,1
253,3,5,3,1
254,0,5,0,1
255,3,5,3,1
256,3,5,3,1
257,2,5,0,0
258,1,5,1,1
259,3,5,3,1
260,0,5,0,1
261,1,5,1,1
262,3,5,3,1
263,0,5,0,1
264,3,5,3,1
265,2,5,2,1
266,1,5,1,1
267,0,5,0,1
268,3,5,3,1
269,3,5,3,1
270,0,5,0,1
271,3,5,3,1
272,1,4,1,1
273,2,5,2,1
274,3,5,3,1
275,2,1,3,0
276,3,5,3,1
277,1,5,1,1
278,3,5,0,0
279,3,5,3,1
280,1,5,1,1
281,3,5,3,1
282,3,5,3,1
283,1,5,1,1
284,2,5,2,1
285,3,5,3,1
286,1,4,1,1
287,1,4,1,1
288,3,5,3,1
289,1,5,1,1
290,3,5,3,1
291,3,5,3,1
292,0,4,3,0
293,3,5,3,1
294,3,5,3,1
295,1,5,1,1
296,1,5,1,1
297,2,5,2,1
298,2,5,2,1
299,1,5,1,1
300,1,5,1,1
301,0,5,0,1
302,0,5,3,0
303,3,5,3,1
304,1,5,1,1
305,3,5,3,1
306,3,5,3,1
307,3,5,3,1
308,3,5,3,1
309,1,5,1,1
310,3,5,3,1
311,2,5,2,1
312,3,5,3,1
313,1,5,1,1
314,3,5,3,1
315,0,5,0,1
316,3,5,3,1
317,2,5,2,1
318,0,5,0,1
319,3,5,3,1
320,2,5,2,1
321,3,5,3,1
