id,model_answer,confidence,correct_answer,is_correct
28247485,0,5,0,1
16816043,1,3,2,0
20736887,2,3,1,0
19931500,1,3,0,0
9363244,1,5,0,0
21074975,0,5,0,1
15954832,0,5,0,1
11481599,2,3,0,0
28006766,2,3,0,0
11799314,2,3,0,0
22011946,2,3,1,0
25985014,2,3,1,0
26298839,2,3,0,0
22694248,0,5,0,1
26126304,2,4,1,0
27858166,2,3,0,0
12407608,0,5,2,0
23806388,1,3,0,0
20121683,0,5,0,1
28407529,1,5,1,1
25735444,1,2,2,0
14745753,2,3,0,0
11034241,1,3,2,0
12238307,2,4,1,0
8111516,0,5,0,1
8910148,2,4,0,0
27136599,2,3,0,0
18388848,0,5,0,1
21845457,0,5,0,1
27338535,2,4,1,0
15222284,0,5,0,1
24446763,2,3,1,0
22251324,2,3,1,0
21848798,1,3,0,0
24336869,0,4,2,0
18843057,1,5,1,1
18714572,1,5,2,0
22867778,0,5,2,0
17062225,1,3,0,0
19542542,1,5,2,0
23096188,0,3,0,1
18041059,0,3,0,1
21420186,2,3,0,0
17704864,2,3,0,0
27050505,2,3,0,0
18847643,2,5,1,0
24748473,0,5,0,1
27690714,2,3,0,0
21801416,2,3,0,0
19145527,0,4,2,0
21952349,2,3,0,0
15223779,2,4,0,0
10732884,2,3,1,0
23264436,2,4,0,0
15687156,1,4,1,1
22491528,2,4,2,1
16809243,2,3,1,0
23719685,1,5,1,1
17076091,0,4,2,0
28027677,2,4,1,0
17323047,2,3,1,0
22023714,2,3,1,0
17276182,0,3,0,1
19852337,2,3,0,0
20813740,0,4,0,1
27757987,1,2,1,1
16100194,0,5,1,0
24964725,0,5,0,1
17940352,2,3,2,1
25592625,0,4,1,0
12970636,2,3,1,0
15369037,2,3,0,0
20842006,2,3,1,0
19923859,2,4,0,0
27096199,2,4,1,0
20871246,2,3,2,1
18096128,1,4,1,1
25725704,2,3,0,0
15280782,2,3,1,0
12098035,0,5,0,1
23601294,2,4,1,0
18322741,2,3,0,0
12419743,1,4,0,0
10430303,2,3,0,0
26044262,2,4,1,0
17244100,0,5,0,1
21712147,0,5,1,0
21394762,0,5,0,1
27818079,0,4,0,1
16968183,0,5,0,1
25311479,0,3,0,1
26820719,2,4,0,0
11458136,0,4,2,0
10757151,1,4,1,1
24142776,1,3,0,0
16147837,2,3,0,0
23412195,2,3,0,0
18065862,2,3,0,0
25406780,0,5,0,1
23321509,2,3,0,0
15774570,2,4,1,0
15488260,0,5,0,1
19268855,2,3,1,0
22382608,2,4,1,0
25103647,0,5,2,0
8017535,0,5,0,1
19482903,2,5,0,0
9199905,2,3,0,0
25488308,0,5,1,0
15053041,2,4,1,0
23072266,0,4,0,1
22680064,2,4,0,0
11867487,2,4,2,1
24785562,0,5,0,1
19198736,0,5,1,0
21756515,0,4,2,0
17489316,2,3,2,1
23848044,2,3,0,0
25475395,2,3,0,0
20156655,1,3,0,0
19309468,2,3,0,0
18472368,1,3,0,0
23517744,2,3,0,0
10473855,2,3,1,0
10340286,0,3,2,0
21850494,2,3,0,0
26864326,2,3,0,0
21618245,2,3,0,0
20084845,2,3,0,0
21459725,1,3,1,1
26852225,2,3,1,0
15530261,0,5,0,1
22720085,2,4,0,0
26784147,1,4,1,1
16713745,2,3,0,0
25982163,1,3,1,1
22683044,1,3,0,0
24237112,2,4,0,0
19520213,2,3,1,0
27216167,1,3,0,0
22324545,2,4,0,0
21346501,2,3,0,0
20101129,2,3,2,1
23414523,0,5,1,0
9044116,2,4,1,0
20497146,2,3,0,0
26104852,2,2,0,0
7664228,1,3,1,1
23735520,2,3,0,0
12855939,2,3,1,0
20382292,0,5,0,1
19130332,0,5,0,1
17462393,2,3,1,0
26485091,1,3,1,1
21123461,0,5,0,1
28359277,0,3,1,0
22186742,1,5,1,1
16827975,2,3,1,0
22497340,0,5,0,1
18708308,0,3,1,0
22990761,2,3,0,0
20306735,0,3,0,1
17306983,2,4,0,0
25487603,0,3,0,1
25489696,2,3,0,0
18274917,1,3,1,1
25793749,2,3,2,1
20537205,1,4,0,0
24359102,2,3,0,0
25957366,1,3,1,1
25218577,2,3,0,0
16241924,2,3,1,0
12632437,0,5,0,1
24622801,0,5,0,1
17220021,2,3,0,0
15787677,0,3,2,0
26133538,2,3,1,0
26471488,0,4,1,0
20082356,0,4,2,0
9100537,1,3,1,1
18607272,0,5,0,1
21592383,2,4,1,0
11943048,0,5,0,1
11977907,2,3,0,0
26085176,1,4,0,0
18496363,2,4,1,0
22644412,0,4,0,1
18439500,0,4,1,0
24191126,2,3,0,0
15670262,2,3,0,0
21979183,2,4,1,0
20488985,2,3,1,0
12805495,2,4,2,1
20530150,1,5,1,1
19608436,2,4,0,0
19237087,0,4,1,0
25614468,2,3,1,0
17483607,0,3,0,1
22668852,2,4,1,0
10927144,2,3,1,0
17062234,2,3,1,0
26348845,0,4,0,1
28127977,2,3,1,0
22349635,2,4,1,0
21951591,0,5,0,1
23621776,2,4,1,0
19142546,2,3,1,0
22617083,2,3,0,0
10456814,2,3,1,0
15502995,1,3,1,1
18086459,2,3,0,0
16296668,2,4,1,0
25669733,2,3,0,0
17096624,0,5,0,1
20850631,2,3,0,0
24751724,0,5,0,1
15125825,2,5,0,0
27989969,2,3,1,0
17593459,0,5,0,1
28056802,0,5,0,1
9381529,0,4,0,1
17089900,0,5,0,1
12684740,2,3,0,0
12070552,2,3,1,0
19694846,1,4,2,0
19593710,0,5,0,1
24481006,0,5,0,1
15708048,2,3,0,0
24153338,2,3,0,0
18239988,1,2,0,0
15112004,2,3,1,0
19913785,1,5,1,1
19615731,2,3,1,0
22350859,2,3,0,0
24160268,2,4,2,1
20602784,0,5,0,1
26399179,2,3,0,0
19351635,2,3,2,1
8521557,1,4,1,1
20130378,1,3,1,1
18507507,2,5,0,0
17312514,2,3,0,0
19027440,2,3,0,0
12848629,1,2,0,0
22972546,2,3,1,0
10808977,0,5,0,1
24901580,1,4,0,0
9347843,2,3,1,0
10401824,0,5,0,1
25150098,0,4,0,1
15995461,0,5,0,1
15065192,0,5,0,1
21198823,1,3,1,1
18616781,2,3,0,0
16678696,2,3,1,0
15703931,2,4,1,0
27554179,2,3,1,0
15052394,2,3,1,0
16909975,1,3,0,0
23356465,1,5,0,0
20828836,2,3,0,0
24947183,0,5,0,1
18158048,2,4,0,0
27592038,2,4,0,0
23587089,2,3,0,0
14631523,2,4,1,0
24315783,2,3,0,0
10354335,0,5,0,1
23999452,0,5,0,1
11053064,2,3,1,0
24450673,1,3,1,1
22428608,2,3,0,0
22540518,0,5,0,1
21880023,2,3,1,0
17621202,0,4,2,0
20363841,2,4,1,0
20064872,2,4,0,0
15208005,0,3,0,1
18222909,2,3,0,0
25336163,1,3,1,1
11438275,0,5,1,0
23386371,2,4,2,1
26686513,2,4,2,1
21256734,1,4,1,1
18802997,0,5,2,0
23992109,0,4,0,1
23234860,2,3,1,0
22849512,0,3,2,0
16195477,0,5,0,1
12121321,0,3,0,1
23588461,2,3,0,0
26175531,1,4,1,1
16249670,0,5,1,0
24671913,0,4,0,1
17444776,2,3,0,0
12595848,0,4,0,1
21166749,2,3,1,0
22365295,2,3,1,0
25747932,1,3,0,0
26778755,2,4,2,1
8738894,2,3,1,0
24449622,0,4,1,0
19100463,2,3,0,0
21789019,0,5,1,0
22668712,2,3,1,0
24577079,2,4,1,0
24995509,2,3,2,1
11978239,1,5,0,0
18955431,0,5,0,1
9483814,2,3,0,0
20337202,2,4,2,1
27281318,0,3,0,1
8921484,2,3,1,0
15475728,2,3,0,0
22658587,2,4,0,0
27040842,2,5,1,0
11035130,0,5,0,1
25521278,2,3,0,0
21900017,0,5,0,1
15539888,1,5,0,0
17578985,2,3,2,1
19481382,2,4,1,0
25371231,2,3,2,1
8985020,0,4,0,1
26923375,0,5,0,1
23149821,2,3,2,1
26134053,2,4,2,1
24352924,2,4,0,0
16769333,0,4,0,1
18179827,0,4,0,1
19664156,2,4,0,0
15050326,0,5,0,1
