id,model_answer,confidence,correct_answer,is_correct
0,2,5,2,1
1,1,5,1,1
2,3,5,3,1
3,2,5,2,1
4,2,4,1,0
5,0,5,0,1
6,2,4,1,0
7,0,5,0,1
8,2,5,2,1
9,0,5,2,0
10,0,5,0,1
11,0,4,0,1
12,0,4,0,1
13,1,5,1,1
14,3,5,3,1
15,2,5,2,1
16,2,5,2,1
17,0,5,0,1
18,2,4,2,1
19,0,5,0,1
20,2,5,2,1
21,2,5,2,1
22,3,5,3,1
23,0,4,0,1
24,2,5,1,0
25,1,5,1,1
26,3,5,3,1
27,2,5,2,1
28,2,5,2,1
29,1,3,2,0
30,0,5,0,1
31,0,5,0,1
32,1,5,1,1
33,2,5,2,1
34,3,4,0,0
35,0,5,0,1
36,2,5,0,0
37,2,4,3,0
38,3,5,0,0
39,3,5,2,0
40,3,5,3,1
41,1,5,3,0
42,1,5,1,1
43,2,5,2,1
44,0,5,0,1
45,1,4,3,0
46,2,5,2,1
47,1,5,1,1
48,1,4,2,0
49,1,4,3,0
50,2,5,2,1
51,2,5,2,1
52,2,5,2,1
53,1,5,1,1
54,0,5,1,0
55,0,5,3,0
56,3,5,3,1
57,2,4,1,0
58,3,5,0,0
59,2,5,2,1
60,3,5,3,1
61,0,4,0,1
62,2,4,3,0
63,2,5,2,1
64,2,4,2,1
65,2,5,2,1
66,1,4,3,0
67,2,5,1,0
68,0,5,3,0
69,2,4,2,1
70,3,5,3,1
71,0,4,1,0
72,2,5,2,1
73,3,4,3,1
74,3,5,3,1
75,2,5,1,0
76,2,5,0,0
77,2,5,2,1
78,1,5,3,0
79,1,5,3,0
80,0,5,0,1
81,2,5,1,0
82,2,4,2,1
83,3,5,3,1
84,3,5,3,1
85,1,4,1,1
86,1,5,1,1
87,1,5,2,0
88,0,4,0,1
89,2,5,0,0
90,3,5,3,1
91,2,5,2,1
92,1,5,1,1
93,2,5,2,1
94,0,3,3,0
95,1,5,1,1
96,3,5,3,1
97,3,4,3,1
98,0,5,0,1
99,2,5,2,1
100,3,5,3,1
101,0,4,2,0
102,0,4,0,1
103,1,5,1,1
104,1,5,2,0
105,1,5,3,0
106,3,4,0,0
107,1,4,1,1
108,3,5,3,1
109,2,5,2,1
110,0,5,3,0
111,2,5,2,1
112,2,5,2,1
113,0,5,0,1
114,0,5,0,1
115,0,4,0,1
116,2,4,1,0
117,2,5,2,1
118,0,5,0,1
119,2,5,2,1
120,2,5,2,1
121,3,5,3,1
122,2,5,2,1
123,3,4,3,1
124,2,5,2,1
125,2,4,0,0
126,2,5,2,1
127,2,4,0,0
128,2,4,2,1
129,0,4,0,1
130,0,5,0,1
131,0,5,0,1
132,3,5,3,1
133,1,5,0,0
134,2,5,2,1
135,2,5,2,1
136,2,5,2,1
137,3,5,3,1
138,3,5,3,1
139,3,5,3,1
140,3,5,3,1
141,0,5,0,1
142,2,4,1,0
143,2,5,1,0
144,2,5,2,1
145,1,4,1,1
146,2,4,3,0
147,1,5,0,0
148,1,4,2,0
149,0,4,3,0
150,0,5,0,1
151,1,5,1,1
152,2,5,2,1
153,1,4,1,1
154,0,5,0,1
155,2,5,3,0
156,2,5,0,0
157,2,5,2,1
158,2,5,2,1
159,3,5,3,1
160,0,5,0,1
161,3,5,3,1
162,2,5,2,1
163,3,5,3,1
164,2,5,2,1
165,0,5,0,1
166,2,5,2,1
167,2,5,3,0
168,0,5,0,1
169,3,4,3,1
170,0,4,0,1
171,1,5,3,0
172,1,5,2,0
173,2,5,1,0
174,1,5,1,1
175,3,4,3,1
176,3,5,3,1
177,2,4,2,1
178,0,5,1,0
179,3,5,3,1
181,0,5,0,1
182,3,5,3,1
183,1,5,2,0
184,1,5,1,1
185,2,5,1,0
186,0,4,0,1
187,1,5,1,1
188,0,5,0,1
189,2,5,2,1
190,1,5,1,1
191,2,4,0,0
192,2,5,0,0
