id,model_answer,confidence,correct_answer,is_correct
0,3,1,0,0
1,2,5,3,0
2,0,5,0,1
3,1,5,1,1
4,1,5,1,1
5,3,4,2,0
6,0,4,0,1
7,2,5,2,1
8,2,4,3,0
9,4,5,0,0
10,2,5,2,1
11,2,5,2,1
12,0,5,0,1
13,0,5,0,1
14,3,5,4,0
15,1,5,1,1
16,0,5,0,1
17,2,5,2,1
18,0,5,1,0
19,1,5,1,1
20,3,5,1,0
21,1,5,1,1
22,0,5,3,0
23,4,3,4,1
24,3,5,3,1
25,1,5,1,1
26,3,4,3,1
27,1,5,1,1
28,2,5,2,1
29,3,5,2,0
30,4,5,0,0
31,3,5,3,1
32,1,1,3,0
33,1,5,1,1
34,3,5,3,1
35,0,5,0,1
36,3,5,3,1
37,1,5,1,1
38,3,5,3,1
39,0,5,0,1
40,3,5,3,1
41,3,5,3,1
42,4,5,4,1
43,3,5,3,1
44,1,5,4,0
45,3,5,4,0
46,4,5,1,0
47,3,5,3,1
48,1,5,1,1
49,4,5,4,1
50,3,5,3,1
51,2,5,2,1
52,2,5,2,1
53,1,5,1,1
54,4,5,0,0
55,1,5,1,1
56,2,5,2,1
57,2,5,2,1
58,3,5,3,1
59,1,4,3,0
60,0,5,3,0
61,1,5,1,1
62,2,4,1,0
63,4,5,4,1
64,2,5,2,1
65,3,5,3,1
66,1,5,1,1
67,0,5,0,1
68,2,3,2,1
69,1,5,1,1
70,2,4,4,0
71,3,5,3,1
72,0,5,1,0
73,4,5,4,1
74,4,5,2,0
75,1,5,1,1
76,1,5,2,0
77,3,5,0,0
78,2,5,2,1
79,2,5,0,0
80,4,5,4,1
81,4,5,4,1
82,3,5,3,1
83,3,4,1,0
84,3,5,1,0
85,1,5,1,1
86,2,5,1,0
87,0,5,0,1
88,2,5,2,1
89,1,5,1,1
90,4,5,0,0
91,3,5,3,1
92,0,4,1,0
93,4,5,4,1
94,0,5,1,0
95,1,5,1,1
96,3,5,3,1
97,2,5,2,1
98,1,5,3,0
99,3,5,3,1
100,0,5,1,0
101,0,5,0,1
102,4,5,2,0
103,4,5,4,1
104,0,4,1,0
105,1,5,1,1
106,0,5,0,1
107,2,4,2,1
108,1,5,1,1
109,0,3,0,1
110,2,5,2,1
111,4,5,4,1
112,2,5,2,1
113,3,5,2,0
114,3,5,3,1
115,0,5,0,1
116,3,5,4,0
117,2,5,2,1
118,1,5,1,1
119,2,5,2,1
120,2,5,2,1
