id,model_answer,confidence,correct_answer,is_correct
0,0,5,0,1
1,0,5,0,1
2,0,5,0,1
3,0,5,0,1
4,0,5,0,1
5,0,5,0,1
6,0,5,0,1
7,2,5,0,0
8,0,5,0,1
9,0,5,0,1
10,0,5,0,1
11,2,5,0,0
12,0,5,0,1
13,0,5,0,1
14,2,5,0,0
15,1,4,0,0
16,0,5,0,1
17,0,5,0,1
18,0,5,0,1
19,4,4,0,0
20,0,5,0,1
21,0,5,0,1
22,0,5,0,1
23,4,5,0,0
24,0,5,0,1
25,0,5,0,1
26,1,5,0,0
27,0,5,0,1
28,0,5,0,1
29,0,5,0,1
30,0,5,0,1
31,0,5,0,1
32,0,5,0,1
33,0,5,0,1
34,0,5,0,1
35,0,5,0,1
36,0,5,0,1
37,0,5,0,1
38,0,5,0,1
39,0,5,0,1
40,4,4,0,0
41,0,5,0,1
42,0,5,0,1
43,0,5,0,1
44,0,5,0,1
45,0,5,0,1
46,0,5,0,1
47,0,5,0,1
48,0,5,0,1
49,2,5,0,0
50,0,5,0,1
51,0,5,0,1
52,0,5,0,1
53,0,5,0,1
54,2,5,0,0
55,0,5,0,1
56,0,4,0,1
57,0,5,0,1
58,0,5,0,1
59,0,5,0,1
60,0,5,0,1
61,2,5,0,0
62,0,5,0,1
63,0,5,0,1
64,1,5,0,0
65,0,5,0,1
66,0,5,0,1
67,0,5,0,1
68,0,5,0,1
69,0,5,0,1
70,0,5,0,1
71,0,5,0,1
72,0,5,0,1
73,4,5,0,0
74,0,5,0,1
75,0,5,0,1
76,0,4,0,1
77,0,5,0,1
78,2,5,0,0
79,0,5,0,1
80,0,5,0,1
81,0,5,0,1
82,0,5,0,1
83,0,5,0,1
84,0,5,0,1
85,0,5,0,1
86,0,5,0,1
87,0,5,0,1
88,0,5,0,1
89,3,5,0,0
90,4,5,0,0
91,0,5,0,1
92,0,5,0,1
93,0,4,0,1
94,0,5,0,1
95,0,5,0,1
96,3,5,0,0
97,0,5,0,1
98,4,4,0,0
99,0,5,0,1
100,0,5,0,1
101,0,5,0,1
102,0,5,0,1
103,0,5,0,1
104,0,5,0,1
105,0,5,0,1
106,0,4,0,1
107,0,5,0,1
108,0,5,0,1
109,0,5,0,1
110,0,5,0,1
111,4,5,0,0
112,0,5,0,1
113,0,5,0,1
114,0,4,0,1
115,0,5,0,1
116,0,5,0,1
117,0,5,0,1
118,0,5,0,1
119,0,5,0,1
120,0,5,0,1
121,1,5,0,0
122,0,5,0,1
123,2,5,0,0
124,0,5,0,1
125,0,5,0,1
126,3,2,0,0
127,0,5,0,1
128,0,5,0,1
129,0,5,0,1
130,0,5,0,1
131,0,5,0,1
132,0,4,0,1
133,0,5,0,1
134,0,5,0,1
135,4,5,0,0
136,0,5,0,1
137,3,5,0,0
138,0,5,0,1
139,1,5,0,0
140,0,5,0,1
141,0,3,0,1
142,0,5,0,1
143,0,5,0,1
144,0,5,0,1
145,0,5,0,1
146,0,5,0,1
147,0,5,0,1
148,0,5,0,1
149,0,5,0,1
150,0,5,0,1
151,0,5,0,1
152,0,4,0,1
153,0,5,0,1
154,0,5,0,1
155,4,5,0,0
156,0,5,0,1
157,0,5,0,1
158,0,5,0,1
159,0,5,0,1
160,0,5,0,1
161,3,5,0,0
162,0,5,0,1
163,0,5,0,1
164,0,5,0,1
165,0,5,0,1
166,0,5,0,1
167,1,5,0,0
168,0,5,0,1
169,3,5,0,0
170,3,5,0,0
171,0,5,0,1
172,0,5,0,1
173,0,5,0,1
174,2,5,0,0
175,0,5,0,1
176,1,4,0,0
177,0,5,0,1
178,0,5,0,1
179,0,5,0,1
180,0,5,0,1
181,1,5,0,0
182,0,5,0,1
183,0,5,0,1
184,4,4,0,0
185,4,5,0,0
186,0,5,0,1
187,0,5,0,1
188,0,5,0,1
189,0,5,0,1
190,0,5,0,1
191,0,5,0,1
192,0,5,0,1
193,0,5,0,1
194,0,5,0,1
195,0,5,0,1
196,0,5,0,1
197,0,5,0,1
198,2,4,0,0
199,0,5,0,1
200,0,5,0,1
201,1,5,0,0
202,0,5,0,1
203,0,5,0,1
204,0,5,0,1
205,3,5,0,0
206,4,5,0,0
207,0,5,0,1
208,0,5,0,1
209,2,5,0,0
210,0,5,0,1
211,0,5,0,1
212,0,5,0,1
