id,model_answer,confidence,correct_answer,is_correct
0,3,5,3,1
1,2,5,0,0
2,3,5,3,1
3,2,5,1,0
4,3,5,3,1
5,2,5,2,1
6,1,5,3,0
7,2,4,3,0
8,2,5,0,0
9,2,4,2,1
10,3,5,3,1
11,1,5,1,1
12,2,5,2,1
13,1,5,0,0
14,3,5,3,1
15,2,5,0,0
16,3,5,3,1
17,2,5,2,1
18,2,5,2,1
19,1,5,0,0
20,2,5,3,0
21,1,5,0,0
22,2,5,0,0
23,1,5,1,1
24,2,5,0,0
25,1,5,0,0
26,2,4,0,0
27,2,5,2,1
28,2,5,2,1
29,1,5,1,1
30,3,5,3,1
31,1,5,1,1
32,1,4,1,1
33,3,5,1,0
34,1,5,0,0
35,1,5,1,1
36,1,5,3,0
37,1,4,1,1
38,2,5,0,0
39,2,5,2,1
40,2,5,2,1
41,1,5,1,1
42,3,5,3,1
43,1,5,1,1
44,3,5,3,1
45,1,5,0,0
46,1,4,1,1
47,2,5,2,1
48,1,4,1,1
49,1,5,0,0
50,0,4,1,0
51,3,5,1,0
52,2,4,1,0
53,1,5,1,1
54,1,5,3,0
55,3,5,3,1
56,2,5,0,0
57,2,4,3,0
58,2,5,2,1
59,3,5,3,1
60,2,4,0,0
61,1,5,1,1
62,3,5,3,1
63,1,5,1,1
64,3,5,3,1
65,1,5,1,1
66,3,5,3,1
67,1,4,3,0
68,3,5,3,1
69,1,5,1,1
70,1,5,0,0
71,1,5,0,0
72,2,5,2,1
73,1,5,1,1
74,3,5,3,1
75,3,5,1,0
76,2,4,3,0
77,1,4,0,0
78,2,5,2,1
79,1,5,1,1
80,2,5,2,1
81,2,5,2,1
82,2,5,0,0
83,1,4,0,0
84,1,5,3,0
85,3,5,3,1
86,2,5,2,1
87,3,5,3,1
88,3,5,3,1
89,2,4,3,0
90,2,5,2,1
91,1,5,1,1
92,3,5,3,1
93,2,5,2,1
94,1,5,1,1
95,2,5,2,1
96,2,5,0,0
97,1,5,1,1
98,1,5,1,1
99,2,5,2,1
100,2,5,2,1
101,1,5,0,0
102,1,5,1,1
103,1,5,1,1
104,2,5,2,1
105,3,5,3,1
106,1,4,1,1
107,1,5,1,1
108,2,5,0,0
109,3,5,3,1
110,2,5,2,1
111,2,4,2,1
112,1,5,0,0
113,1,4,0,0
114,2,5,0,0
115,2,4,2,1
116,1,4,1,1
117,1,4,0,0
118,1,4,2,0
119,1,5,1,1
120,1,5,0,0
121,2,4,2,1
122,0,5,0,1
123,3,5,3,1
124,1,5,1,1
125,1,5,1,1
126,3,5,3,1
127,2,5,2,1
128,2,5,0,0
129,2,5,2,1
130,1,5,0,0
131,3,5,3,1
132,2,5,0,0
133,1,5,1,1
134,2,5,2,1
135,0,4,1,0
136,2,5,2,1
137,2,5,0,0
138,2,5,2,1
139,2,5,2,1
140,3,5,3,1
141,1,5,0,0
142,2,5,0,0
143,1,5,1,1
144,2,5,2,1
145,1,4,3,0
146,1,5,1,1
147,1,5,1,1
148,2,5,2,1
149,2,5,0,0
150,3,5,3,1
151,1,5,1,1
152,2,4,3,0
153,2,5,2,1
154,2,4,2,1
155,1,5,1,1
156,2,4,2,1
157,3,5,3,1
158,1,5,0,0
159,2,5,0,0
160,3,5,3,1
161,3,5,3,1
162,2,5,0,0
163,2,4,3,0
164,1,5,3,0
165,1,4,0,0
166,1,4,1,1
167,1,4,1,1
168,1,5,1,1
169,3,5,3,1
170,1,5,0,0
171,1,5,1,1
172,2,5,0,0
173,1,5,1,1
174,2,5,2,1
175,2,5,2,1
176,3,4,3,1
177,3,5,3,1
178,2,4,3,0
179,2,5,2,1
180,3,5,3,1
181,2,5,2,1
182,3,4,3,1
183,1,5,0,0
184,2,5,2,1
185,1,5,1,1
186,1,5,1,1
187,1,4,0,0
188,2,5,2,1
189,2,5,0,0
190,2,4,2,1
191,2,5,2,1
192,2,5,2,1
193,2,5,2,1
194,1,5,0,0
195,1,5,1,1
196,3,5,3,1
197,3,5,3,1
198,2,5,2,1
199,1,4,1,1
200,3,5,3,1
201,1,5,1,1
202,2,4,1,0
203,2,5,2,1
204,3,5,3,1
205,2,5,0,0
206,1,5,0,0
207,2,4,0,0
