id,model_answer,confidence,correct_answer,is_correct
866,9,5,3,0
867,1,5,1,1
868,3,4,5,0
869,7,4,0,0
870,3,4,4,0
871,2,5,2,1
872,6,5,6,1
873,4,5,4,1
874,4,5,0,0
875,1,4,9,0
876,1,5,8,0
877,8,5,8,1
878,3,5,7,0
879,0,4,0,1
880,3,5,3,1
881,2,5,2,1
882,3,5,6,0
883,1,5,1,1
884,1,4,1,1
885,2,4,2,1
886,0,5,0,1
887,3,5,0,0
888,2,5,0,0
889,2,5,2,1
890,6,5,6,1
891,2,4,2,1
892,5,5,5,1
893,3,5,6,0
894,1,5,7,0
895,2,4,7,0
896,4,5,6,0
897,6,4,6,1
898,1,5,2,0
899,5,5,6,0
900,0,5,0,1
901,5,5,6,0
902,8,5,8,1
903,1,5,1,1
904,0,5,0,1
905,0,5,0,1
906,3,4,6,0
907,1,5,9,0
908,3,4,1,0
909,0,5,1,0
910,1,4,1,1
911,4,4,4,1
912,3,5,1,0
913,0,5,4,0
914,5,5,5,1
915,6,5,6,1
916,7,5,7,1
917,8,5,8,1
918,9,5,9,1
919,4,5,4,1
920,9,5,7,0
921,5,5,5,1
922,3,5,3,1
923,3,5,5,0
924,9,4,9,1
925,4,4,9,0
926,7,5,7,1
927,4,5,4,1
928,1,5,1,1
929,1,5,1,1
930,0,4,4,0
931,1,5,1,1
932,5,5,4,0
933,7,4,7,1
934,7,5,6,0
935,4,4,3,0
936,2,4,3,0
937,3,5,3,1
938,2,5,5,0
939,6,5,6,1
940,3,5,3,1
941,0,4,5,0
942,5,5,5,1
943,1,5,5,0
944,3,5,3,1
945,5,5,5,1
946,0,5,1,0
947,6,5,6,1
948,5,5,5,1
949,4,5,4,1
950,6,5,6,1
951,8,4,0,0
952,3,5,3,1
953,8,5,2,0
954,7,5,4,0
955,4,4,0,0
956,0,5,0,1
957,6,5,6,1
958,9,5,9,1
959,0,5,0,1
960,6,5,6,1
961,0,5,0,1
962,6,5,6,1
963,4,4,4,1
964,7,4,7,1
965,6,4,5,0
966,5,5,3,0
967,2,4,5,0
968,7,5,7,1
969,6,4,8,0
970,3,5,0,0
971,2,5,2,1
972,3,5,5,0
973,7,5,7,1
974,7,4,6,0
975,2,5,3,0
976,4,5,4,1
977,2,5,2,1
978,0,5,0,1
979,2,5,2,1
980,3,4,0,0
981,8,5,8,1
982,2,5,6,0
983,8,4,6,0
984,5,4,1,0
985,3,4,6,0
986,4,4,1,0
988,6,4,1,0
989,7,5,7,1
990,6,5,6,1
991,4,5,4,1
992,7,5,7,1
993,0,4,1,0
994,7,5,7,1
995,4,4,5,0
996,8,5,8,1
997,1,5,1,1
999,1,4,0,0
1000,9,4,0,0
1001,3,5,2,0
1002,6,5,4,0
1003,2,5,2,1
1004,2,5,5,0
1005,4,4,3,0
1006,7,5,7,1
1007,0,5,0,1
1008,3,5,9,0
1009,1,4,1,1
1010,4,5,4,1
1011,1,4,4,0
1012,4,5,8,0
1013,4,5,8,0
1014,2,5,5,0
1015,5,5,5,1
1016,6,5,7,0
1017,1,5,1,1
1018,1,5,1,1
1019,5,4,0,0
1020,4,4,6,0
1021,4,4,4,1
1022,6,5,6,1
1023,1,4,3,0
1025,3,5,3,1
1026,7,5,7,1
1027,0,4,0,1
1028,1,5,1,1
1029,2,5,6,0
1030,6,5,3,0
1031,4,4,4,1
1032,7,4,3,0
1033,7,5,7,1
1034,3,5,3,1
1035,0,5,0,1
1036,1,5,1,1
1037,5,5,7,0
1038,4,5,1,0
1039,1,5,1,1
1040,3,4,8,0
1041,7,5,8,0
1042,4,5,4,1
1043,3,5,6,0
1044,1,5,1,1
1045,6,5,4,0
1046,4,4,2,0
1047,2,5,2,1
1048,0,5,2,0
1049,1,5,1,1
1050,9,4,0,0
1051,5,5,3,0
1052,0,5,0,1
1053,0,4,1,0
1054,0,3,0,1
1055,2,5,2,1
1056,4,5,4,1
1057,7,5,6,0
1058,9,5,8,0
1059,1,5,1,1
1060,6,5,6,1
1061,5,5,5,1
1062,5,5,0,0
1063,6,5,0,0
1064,8,5,0,0
1065,6,5,5,0
1066,8,5,8,1
1067,9,5,9,1
1068,2,5,1,0
1069,7,5,5,0
1070,4,5,4,1
1071,1,4,0,0
1072,1,4,5,0
1073,0,5,5,0
1074,9,4,9,1
1075,4,5,4,1
1076,3,4,3,1
1077,4,5,8,0
1078,1,5,1,1
1079,6,5,8,0
1080,1,5,1,1
1081,1,5,1,1
1082,3,5,3,1
1083,0,5,0,1
1084,4,4,9,0
1085,1,5,8,0
1086,3,4,2,0
1087,4,5,2,0
1088,6,4,1,0
1089,0,4,3,0
1090,0,4,0,1
1091,0,4,0,1
1092,6,5,6,1
1093,2,5,5,0
1094,0,4,0,1
1095,3,4,3,1
1096,5,4,0,0
1097,2,4,0,0
1099,2,5,8,0
1100,3,4,3,1
1101,4,4,4,1
1102,8,5,7,0
1103,6,5,6,1
1104,0,4,7,0
1105,1,5,1,1
1106,2,5,2,1
1107,6,5,4,0
1108,0,5,6,0
1109,6,4,6,1
1110,2,5,8,0
1111,1,4,0,0
1112,8,4,8,1
1113,1,4,0,0
1114,1,5,1,1
1115,2,5,2,1
1116,0,5,0,1
1117,2,5,3,0
1118,3,5,3,1
1119,2,5,1,0
1120,1,5,1,1
1121,4,5,4,1
1122,7,5,0,0
1123,2,5,3,0
1124,2,5,2,1
1125,6,5,6,1
1126,2,5,2,1
1127,6,5,4,0
1128,3,4,3,1
1129,3,4,3,1
1130,3,5,0,0
1131,0,4,2,0
1132,3,4,5,0
1133,3,4,2,0
1134,6,4,6,1
1135,1,5,1,1
1136,3,4,7,0
1137,2,5,2,1
1138,2,5,2,1
1139,7,5,8,0
1140,1,5,1,1
1141,2,5,2,1
1142,1,4,8,0
1143,0,4,0,1
1144,4,5,4,1
1145,9,5,9,1
1146,4,5,4,1
1147,2,5,2,1
1148,2,5,2,1
1149,1,5,1,1
1150,1,4,3,0
1152,3,5,1,0
1153,0,4,2,0
1154,6,5,3,0
1155,6,5,6,1
1156,5,5,2,0
1157,7,5,3,0
1158,3,4,2,0
1159,8,5,3,0
1160,6,5,4,0
1161,8,5,8,1
1162,5,5,5,1
1163,3,5,3,1
1164,2,4,4,0
1165,2,4,2,1
1166,4,5,8,0
1167,0,5,0,1
1168,4,4,7,0
1169,5,5,5,1
1170,2,5,9,0
1171,2,5,2,1
1172,0,5,0,1
1173,6,4,6,1
1174,8,4,1,0
1175,6,5,3,0
1176,8,4,2,0
1177,2,5,6,0
1178,3,5,3,1
1179,5,4,5,1
1180,3,4,0,0
1181,2,5,7,0
1183,0,5,0,1
1184,5,4,8,0
1185,8,5,8,1
1186,2,4,9,0
1187,5,5,5,1
1188,1,4,1,1
1189,2,5,4,0
1190,1,4,4,0
1191,7,4,9,0
1192,0,5,0,1
1193,9,5,0,0
1194,7,5,7,1
1195,1,5,9,0
1196,8,5,5,0
1197,4,5,1,0
1198,1,5,1,1
1199,4,5,9,0
1200,3,5,3,1
1201,0,4,1,0
1202,2,5,2,1
1203,8,5,8,1
1204,5,5,5,1
1205,7,5,7,1
1206,1,4,3,0
1207,8,4,7,0
1208,5,5,0,0
1209,8,4,8,1
1210,2,4,2,1
1211,6,4,2,0
1212,0,5,0,1
1213,4,5,4,1
1214,7,5,7,1
1215,3,5,9,0
1216,2,5,7,0
1217,4,4,4,1
1218,4,4,4,1
1219,4,5,9,0
1220,0,4,0,1
1221,7,5,6,0
1222,5,5,7,0
1223,2,5,6,0
1224,0,4,0,1
1225,1,5,1,1
1226,2,5,2,1
1227,8,5,8,1
1228,6,5,6,1
1229,3,5,7,0
1231,1,5,1,1
1232,8,4,0,0
1233,2,4,5,0
1234,2,5,2,1
1235,2,5,2,1
1236,5,5,2,0
1237,6,5,6,1
1238,4,5,9,0
1239,7,5,4,0
1240,1,5,8,0
1241,8,5,8,1
1242,0,5,0,1
1243,1,5,1,1
1244,1,5,6,0
1245,8,5,8,1
1246,3,4,5,0
1247,1,5,1,1
1248,3,5,3,1
1249,3,4,3,1
1250,0,5,0,1
1251,6,4,6,1
1252,5,4,0,0
1253,5,4,5,1
1254,0,5,0,1
1255,0,4,0,1
1256,4,5,4,1
1257,2,5,7,0
1258,3,4,4,0
1259,9,5,7,0
1260,2,5,2,1
1261,6,5,6,1
1262,7,5,7,1
1263,1,5,1,1
1264,5,5,5,1
1265,6,4,0,0
1266,2,4,2,1
1267,3,5,4,0
1268,8,5,3,0
1269,4,4,6,0
1270,1,5,1,1
1271,4,5,4,1
