id,question,model_answer,confidence,correct_answer,is_correct
0," 29-year-old female with foreign body in leg. She is able to ambulate with assistance from a friend. She has a tourniquet in place. It is still bleeding a lot, but her capillary refill is less than two seconds. She is breathing at 18/minute. The wound looks like it is pretty deep.   
What triage zone should the patient be placed in?",2,4,1,0
2," 44-year-old male with sharp trauma to neck. Capillary refill of four seconds and the patient is not following simple commands. The patient is dripping blood everywhere. You cannot see if it is pulsatile under the bandages.   
What triage zone should the patient be placed in?",3,5,3,1
3," 21-year-old male, inebriated. He is shouting “my arm hurts!” There is an obvious deformity.  
What triage zone should the patient be placed in?",2,5,1,0
4," 64-year-old female, breathing, not responding to commands, eyes closed, nonverbal. Appears to have a large parietal hematoma.   
What triage zone should the patient be placed in?",3,5,3,1
5," 32-year-old male, not ambulatory, bleeding from proximal right thigh. He has a tourniquet in place. When the tourniquet is removed, bleeding is pulsatile.  
What triage zone should the patient be placed in?",3,5,2,0
6," 19-year-old male with obvious deformity of left ankle. Talking, not ambulatory. Left dorsalis pedis pulse not present. Posterior tibial pulse present. Good cap refill.  
What triage zone should the patient be placed in?",3,5,2,0
7," 56-year-old male with burns to his entire body. He is unable to ambulate. You can’t assess capillary refill due to burns. Soot in nares with circumferential extremity burns. Complaining of extreme pain and begging for pain medication. Asking if he is going to die.   
What triage zone should the patient be placed in?",3,5,3,1
8," 44-year-old female missing the distal aspect of her right upper extremity. She has the mangled, dirty extremity in a bag. Appears to be detached distal to the elbow. She has no tourniquet in place and is bleeding everywhere. She appears unsteady. Capillary refill is five seconds.  
What triage zone should the patient be placed in?",3,5,3,1
9," 13-year-old male with a bleeding finger. He is ambulatory. He states his finger hurts. No obvious deformity.  
What triage zone should the patient be placed in?",2,4,1,0
10," 8-year-old female is refusing to move. When you attempt to move her, she screams. She is holding her neck very still.  
What triage zone should the patient be placed in?",3,5,2,0
11," 10-year-old male confused and crying but directable and answering questions. Denies LOC, no signs of head trauma.   
What triage zone should the patient be placed in?",2,4,1,0
12," 20-year-old male with metal rod sticking out of his lateral thigh. Pulses intact, no active bleeding. Patient reports 7/10 pain.   
What triage zone should the patient be placed in?",2,4,2,1
13," 89-year-old female complaining of vision loss and pain to right eye. Reports feeling fluid from her eye when she rubbed it.  
What triage zone should the patient be placed in?",3,5,1,0
14," 62-year-old male with skin avulsions to both arms. No signs of broken bones, full range of motion of bilateral upper extremities, sensation intact, no active bleeding.  
What triage zone should the patient be placed in?",2,4,1,0
15," 33-year-old female with large piece of building on her right leg. Pulses intact, sensation intact. Able to limp after block removed.  
What triage zone should the patient be placed in?",2,5,1,0
16," 24-year-old male with large anterior forearm laceration with active pulsatile bleeding. He is attempting to cover his arm but the blood oozes around him holding pressure. Capillary refill > four seconds and he appears diaphoretic.  
What triage zone should the patient be placed in?",3,5,3,1
