id,model_answer,confidence,correct_answer,is_correct
1438,0,4,0,1
553,0,4,0,1
921,1,5,2,0
695,1,4,0,0
132,3,5,3,1
95,2,5,1,0
1059,1,4,2,0
1088,3,5,3,1
44,0,5,0,1
644,2,4,2,1
225,1,5,1,1
582,2,5,2,1
1216,2,5,2,1
879,3,5,3,1
1101,3,5,3,1
1444,0,4,3,0
288,0,4,3,0
1025,0,5,0,1
38,0,4,0,1
638,3,5,3,1
259,3,5,2,0
1332,0,5,0,1
1495,2,3,3,0
760,2,3,3,0
301,1,5,1,1
805,2,5,2,1
477,1,5,3,0
528,0,5,0,1
1443,1,4,1,1
1022,1,4,1,1
149,0,5,3,0
198,3,5,3,1
1492,1,4,1,1
1335,3,5,3,1
767,2,5,2,1
306,2,5,1,0
470,2,5,3,0
802,2,5,0,0
926,3,4,3,1
554,0,3,2,0
1398,0,5,0,1
92,1,4,1,1
135,2,5,2,1
692,1,5,1,1
643,3,5,3,1
43,2,5,2,1
1349,0,5,2,0
585,3,4,1,0
222,2,5,2,1
1211,1,5,2,0
1106,1,5,1,1
281,2,4,2,1
954,2,5,2,1
526,3,5,2,0
147,1,4,0,0
31,0,5,0,1
631,0,5,0,1
196,3,5,3,1
250,2,5,2,1
985,3,5,3,1
769,3,5,0,0
308,3,4,3,1
1263,2,5,2,1
1515,0,5,0,1
1174,3,5,0,0
1396,0,5,0,1
1431,2,5,2,1
928,3,5,1,0
1050,0,5,0,1
1081,2,4,1,0
1347,3,5,3,1
715,1,5,1,1
374,2,4,0,0
402,1,4,0,0
870,3,5,3,1
1108,0,5,0,1
1436,2,5,2,1
1391,2,5,0,0
1057,2,4,0,0
1086,1,3,3,0
1340,0,5,0,1
712,2,5,2,1
1218,2,5,2,1
373,0,3,2,0
877,0,5,0,1
405,2,5,0,0
521,1,4,1,1
953,3,5,1,0
286,0,4,3,0
140,3,5,3,1
191,2,5,0,0
636,2,5,3,0
36,2,4,0,0
982,0,4,1,0
257,3,5,3,1
1264,1,4,1,1
479,3,5,3,1
1512,1,5,1,1
1173,0,5,0,1
