,id,model_answer,confidence,correct_answer,is_correct
1,2784,1,4,1,1
2,2440,2,5,2,1
3,1694,2,3,2,1
4,2494,0,3,0,1
5,2270,0,1,0,1
6,3476,0,3,0,1
7,937,2,5,0,0
8,495,2,4,2,1
10,3375,1,5,1,1
12,1487,2,4,2,1
13,969,2,4,1,0
14,2883,1,5,1,1
15,655,2,5,2,1
16,229,0,5,0,1
17,1116,1,2,1,1
18,840,1,3,1,1
19,32,1,5,1,1
20,1583,2,5,2,1
21,803,2,4,2,1
22,2110,0,4,0,1
23,2981,1,5,1,1
24,1067,0,4,0,1
25,2428,1,5,1,1
26,2928,0,3,0,1
27,3437,0,5,0,1
31,2905,2,5,2,1
32,402,0,1,0,1
33,3353,0,5,0,1
34,2102,2,5,0,0
35,3066,2,3,0,0
36,3221,0,4,0,1
37,501,0,4,0,1
38,3639,0,5,0,1
39,1113,0,5,0,1
40,1403,1,5,1,1
41,2657,1,5,1,1
42,1149,2,5,2,1
43,3248,2,3,2,1
44,3636,2,3,2,1
45,2586,1,3,1,1
46,109,2,5,2,1
47,14,1,2,1,1
48,2528,2,5,2,1
49,1293,2,5,2,1
50,1226,2,2,2,1
51,2531,0,5,0,1
52,2925,2,5,2,1
53,1108,2,2,2,1
54,693,2,3,0,0
55,2989,2,5,2,1
56,964,2,5,2,1
57,3624,1,3,1,1
58,17,0,5,0,1
59,2915,2,4,2,1
60,3447,1,5,1,1
61,564,0,1,0,1
62,1496,1,5,1,1
64,353,0,4,0,1
65,468,0,4,0,1
66,1410,1,3,1,1
67,1509,0,4,1,0
68,59,2,5,2,1
69,415,2,5,2,1
70,715,1,5,1,1
71,354,1,5,1,1
73,1280,0,1,0,1
74,858,0,5,1,0
75,1525,0,3,2,0
77,1503,2,5,2,1
78,374,0,3,0,1
80,1506,1,3,1,1
82,958,2,4,0,0
83,1502,0,4,1,0
84,982,2,3,2,1
85,634,0,4,0,1
86,162,0,1,0,1
87,380,2,2,2,1
88,1129,1,5,1,1
89,932,1,1,1,1
90,1779,2,5,2,1
91,2890,1,1,1,1
92,4956,2,5,2,1
93,1297,2,4,1,0
94,2422,0,1,0,1
95,5028,2,5,2,1
96,2868,0,1,0,1
97,622,0,1,0,1
98,4739,2,4,2,1
99,4283,1,3,2,0
100,2146,1,3,1,1
101,3208,0,1,0,1
102,3513,2,5,1,0
103,4046,2,3,2,1
104,4814,1,3,1,1
105,4896,1,5,1,1
107,2067,1,4,1,1
108,577,1,4,1,1
109,4403,1,4,2,0
110,1261,0,5,0,1
113,3119,2,4,2,1
114,4692,0,3,0,1
116,4237,2,5,2,1
117,1305,1,4,2,0
118,3692,1,5,1,1
119,2602,2,1,2,1
120,3717,2,5,2,1
121,1197,1,5,1,1
122,373,1,4,2,0
123,3535,1,5,1,1
124,3592,1,4,1,1
125,4537,2,5,2,1
126,177,0,5,0,1
127,5410,2,2,2,1
128,1421,2,4,0,0
129,1488,0,1,0,1
130,1770,0,1,0,1
132,2525,1,5,1,1
133,4786,0,5,0,1
134,5099,2,5,2,1
135,5343,0,5,0,1
136,4923,2,5,1,0
137,5542,2,3,2,1
138,683,2,4,2,1
139,4800,1,5,1,1
140,1978,1,1,1,1
142,4441,1,4,1,1
144,4449,2,5,2,1
145,1897,2,4,2,1
146,2715,0,4,0,1
147,80,1,5,1,1
148,371,0,1,1,0
149,530,1,2,1,1
150,333,1,5,1,1
151,1121,0,5,0,1
152,3703,0,5,0,1
153,1740,1,2,1,1
154,2328,2,3,2,1
155,2748,0,2,0,1
156,4958,2,3,2,1
157,4883,1,4,1,1
158,4071,1,5,1,1
159,2465,0,5,0,1
160,4430,2,3,2,1
161,2926,0,1,0,1
163,324,1,5,1,1
164,3459,0,5,0,1
165,3386,0,1,0,1
166,4826,0,3,0,1
167,2600,2,5,2,1
168,2794,0,1,0,1
169,1181,0,5,0,1
170,4448,1,2,1,1
171,79,2,4,2,1
172,2815,1,5,1,1
173,167,1,4,1,1
174,1672,1,1,1,1
175,1074,0,1,0,1
177,5577,1,5,1,1
178,3861,0,5,0,1
179,1520,2,1,2,1
180,2495,0,5,0,1
181,3049,1,5,1,1
182,794,2,5,2,1
184,63,1,5,1,1
186,2018,0,2,0,1
187,331,2,4,2,1
188,810,2,3,2,1
189,594,1,1,1,1
190,2580,1,1,1,1
192,1029,2,5,2,1
193,1675,1,5,1,1
195,194,1,1,1,1
196,2371,1,4,1,1
197,2034,2,2,2,1
198,2539,0,5,0,1
199,246,2,5,2,1
200,256,0,1,0,1
201,486,1,3,1,1
203,1963,2,5,2,1
204,144,1,5,1,1
205,2482,0,1,0,1
206,1151,0,5,0,1
208,416,1,2,1,1
209,2223,0,5,0,1
211,990,1,4,1,1
212,192,1,3,1,1
213,1228,2,5,2,1
214,1431,1,4,1,1
217,2801,1,4,1,1
218,1593,0,5,0,1
220,1510,0,1,0,1
221,1766,2,2,2,1
222,670,1,5,1,1
223,2496,2,5,2,1
224,2507,1,5,1,1
225,266,0,1,0,1
226,1055,1,4,1,1
227,1091,1,4,1,1
228,718,1,3,1,1
229,1037,1,5,1,1
230,1677,2,4,2,1
231,102,0,4,1,0
232,1924,1,5,1,1
233,581,0,5,0,1
234,1971,1,5,1,1
235,2966,1,5,1,1
236,1246,0,5,0,1
237,813,0,2,1,0
238,1173,0,5,0,1
239,534,2,2,2,1
240,514,2,3,2,1
241,1524,1,5,1,1
242,522,1,3,1,1
243,274,1,2,1,1
244,494,1,3,1,1
245,65,0,5,2,0
246,672,1,5,1,1
247,978,1,5,1,1
248,722,2,4,2,1
249,780,0,4,0,1
250,1013,2,5,2,1
251,669,1,5,0,0
254,29,2,5,0,0
256,1545,0,4,0,1
257,1567,1,5,1,1
258,527,0,4,2,0
259,664,2,4,2,1
260,1526,1,5,1,1
262,5728,0,1,0,1
263,5345,0,5,0,1
264,2906,0,5,0,1
265,3257,0,5,0,1
266,4607,0,3,1,0
267,5269,2,4,2,1
268,5787,1,5,1,1
269,5937,0,5,0,1
270,1498,2,3,2,1
271,4184,0,1,0,1
272,3003,0,4,0,1
273,1425,0,2,2,0
274,3759,0,3,2,0
275,1451,0,5,0,1
279,6441,2,5,2,1
280,3282,0,1,0,1
281,3295,0,5,0,1
283,6695,2,5,2,1
284,1894,0,1,0,1
285,2283,0,5,0,1
286,1038,2,1,2,1
289,6777,2,5,2,1
290,3125,0,5,0,1
291,4921,0,5,0,1
292,6709,0,5,0,1
293,6772,0,1,0,1
294,1501,2,5,2,1
295,763,1,5,1,1
296,1281,2,4,0,0
298,5594,0,1,0,1
299,3529,2,5,2,1
300,5459,2,5,2,1
301,6655,1,5,1,1
302,2572,1,3,1,1
303,4623,2,4,0,0
304,1912,0,2,0,1
305,5485,2,5,2,1
306,6848,1,5,1,1
307,5296,1,1,1,1
308,1650,0,3,0,1
309,2197,1,5,1,1
310,3721,2,5,2,1
311,3574,0,3,0,1
312,3641,0,5,0,1
314,3407,2,5,2,1
315,5321,1,5,1,1
316,6479,2,5,2,1
318,4467,2,5,2,1
319,2087,1,5,1,1
320,3012,2,5,2,1
321,1882,2,2,2,1
322,4347,0,5,0,1
323,2458,1,5,1,1
325,4844,0,1,0,1
326,1805,1,5,1,1
327,503,0,5,0,1
329,2807,1,5,1,1
331,4017,0,5,0,1
332,2344,2,3,2,1
333,5286,1,1,1,1
334,2318,2,2,2,1
335,3686,0,3,0,1
337,4235,1,5,1,1
338,5623,1,5,1,1
339,4224,2,3,2,1
340,4928,2,2,2,1
341,5807,0,5,0,1
342,6610,1,3,1,1
343,4897,2,5,2,1
344,1876,1,5,1,1
345,2177,0,5,0,1
346,3098,2,3,2,1
348,5836,0,1,0,1
349,3337,0,5,0,1
350,472,1,4,1,1
353,511,0,3,0,1
354,1782,0,5,0,1
355,2284,1,3,1,1
356,3932,2,5,2,1
358,5617,0,5,0,1
359,1741,0,5,0,1
360,3706,2,3,2,1
361,2997,0,4,0,1
362,1446,1,1,1,1
364,6317,2,5,2,1
365,6058,1,1,1,1
366,3929,1,5,1,1
368,6254,0,1,0,1
369,3315,1,5,1,1
370,3620,2,2,2,1
373,4166,2,3,2,1
374,233,1,5,1,1
375,800,2,5,2,1
376,5671,0,5,0,1
377,6616,2,5,2,1
378,5125,0,5,0,1
379,4129,1,5,1,1
380,668,0,4,0,1
381,3544,2,5,2,1
382,9075,0,5,0,1
384,4080,2,3,2,1
385,1254,1,1,1,1
386,2627,0,5,0,1
387,7302,2,4,2,1
388,3077,2,5,2,1
389,8970,2,5,2,1
390,3979,0,5,0,1
391,1056,1,3,1,1
392,8560,2,5,2,1
393,10544,2,3,2,1
394,7229,1,5,1,1
395,2514,0,1,0,1
396,2625,1,5,1,1
397,4269,0,5,0,1
398,4110,0,1,0,1
399,9646,2,2,2,1
400,7254,2,4,2,1
401,8969,0,5,0,1
402,1213,1,5,1,1
403,8076,2,3,2,1
404,10508,1,4,1,1
405,8749,2,5,2,1
406,10638,1,4,1,1
408,6227,0,5,0,1
410,3936,0,2,0,1
411,4816,0,1,0,1
412,10184,2,3,2,1
413,1905,2,5,2,1
414,1433,1,5,1,1
415,318,2,5,2,1
416,9736,0,3,0,1
417,10240,0,4,0,1
418,9466,2,3,2,1
419,4466,1,3,1,1
421,4562,1,3,1,1
423,1732,0,3,0,1
424,4418,0,3,0,1
425,3403,1,5,1,1
426,2227,0,5,0,1
428,1701,1,5,1,1
429,5856,1,2,1,1
430,9366,2,3,2,1
431,7469,2,4,2,1
432,533,1,5,1,1
433,10894,2,3,2,1
434,3424,1,1,1,1
435,3194,2,2,2,1
436,4376,0,1,0,1
438,8839,2,5,2,1
439,8888,2,5,2,1
441,9280,1,3,1,1
442,1042,1,3,1,1
443,2108,2,3,2,1
444,9744,1,3,1,1
445,10734,2,3,2,1
446,4190,2,3,2,1
447,6720,1,5,1,1
448,1825,1,5,1,1
449,1208,2,5,2,1
450,9376,1,3,1,1
451,11149,1,5,1,1
452,11123,0,5,0,1
453,1669,1,5,1,1
454,554,1,4,2,0
455,9651,2,5,2,1
456,3465,0,5,0,1
457,6083,0,5,0,1
458,8630,0,5,0,1
459,4511,1,5,1,1
460,5582,2,5,2,1
461,1862,1,4,1,1
462,10354,0,5,0,1
463,9876,0,3,0,1
464,5920,0,3,0,1
465,3540,2,4,2,1
466,2935,0,5,0,1
467,6774,0,5,0,1
468,2980,0,1,0,1
469,5627,0,5,0,1
470,5701,0,5,0,1
471,10050,1,4,1,1
472,9272,2,3,2,1
473,1883,1,5,1,1
474,2691,0,5,0,1
476,5350,2,5,2,1
