id,model_answer,confidence,correct_answer,is_correct
1066,8,5,8,1
1875,1,4,1,1
1407,3,5,3,1
1371,9,5,5,0
1710,4,5,4,1
1229,2,4,7,0
1648,2,5,2,1
994,5,4,7,0
945,5,5,5,1
1699,1,4,3,0
1809,6,5,6,1
1980,6,5,6,1
1255,0,4,0,1
1193,0,3,0,1
1634,1,2,1,1
939,6,5,6,1
1142,3,4,8,0
1523,9,5,3,0
1951,1,5,1,1
1284,6,4,5,0
866,9,5,3,0
1252,0,5,0,1
1633,3,5,2,0
1194,7,5,7,1
1145,9,5,9,1
1283,8,5,8,1
1956,7,5,7,1
1524,5,5,5,1
1061,5,5,5,1
1872,0,3,0,1
1376,8,5,8,1
1717,7,4,6,0
1589,1,5,3,0
993,1,5,1,1
1139,7,5,8,0
942,5,5,5,1
1558,3,4,7,0
868,3,4,5,0
1013,4,5,8,0
1472,0,3,9,0
1800,4,5,4,1
1304,0,5,0,1
1765,9,5,9,1
930,0,4,4,0
1958,3,4,5,0
1719,8,4,8,1
1587,4,5,7,0
1220,0,4,0,1
1641,2,5,4,0
1137,2,5,2,1
1690,6,5,6,1
1924,7,5,7,1
1556,5,5,1,0
1068,6,5,1,0
1409,0,1,1,0
1227,8,5,8,1
1580,3,4,0,0
1646,8,5,8,1
1697,2,5,2,1
1130,3,5,0,0
1551,8,4,8,1
1923,2,5,2,1
1014,2,4,5,0
1807,1,4,0,0
1475,2,5,1,0
1303,6,4,0,0
1762,2,4,3,0
937,3,5,3,1
1564,2,5,2,1
1916,1,4,5,0
1105,1,5,1,1
1673,0,5,0,1
1212,0,5,0,1
1757,2,5,2,1
1336,6,4,9,0
1491,7,5,7,1
1832,6,5,6,1
1440,1,5,1,1
1786,4,5,4,1
1021,4,5,4,1
1518,1,5,1,1
1179,5,5,5,1
902,8,5,8,1
1750,6,4,6,1
1496,2,4,2,1
1331,1,3,2,0
1447,5,5,5,1
1835,1,4,1,1
1026,7,5,7,1
1781,4,5,8,0
905,9,4,0,0
1608,3,5,2,0
1269,6,5,6,1
1898,6,5,6,1
1849,4,5,4,1
1911,2,5,0,0
1563,9,5,0,0
979,2,5,2,1
1102,8,5,7,0
1674,5,5,4,0
1215,3,5,9,0
882,3,5,6,0
1498,2,4,6,0
1449,6,5,6,1
1028,1,5,1,1
1963,5,5,5,1
1511,1,5,1,1
1170,2,3,9,0
1606,3,5,4,0
1267,3,5,4,0
1722,9,5,9,1
1085,1,5,8,0
1343,1,5,0,0
1896,4,4,4,1
1392,0,5,1,0
1435,3,5,8,0
1847,2,4,7,0
1054,0,4,0,1
977,2,5,2,1
1082,3,5,3,1
1725,1,5,1,1
1891,7,5,7,1
1344,5,5,5,1
1840,3,5,3,1
1432,3,4,4,0
1395,1,5,1,1
1053,1,5,1,1
1918,9,5,7,0
970,1,5,0,0
1759,9,5,9,1
885,2,4,2,1
1338,6,5,7,0
1788,2,5,9,0
1516,3,5,3,1
1964,6,5,6,1
1177,2,5,6,0
1601,6,5,6,1
1260,2,5,2,1
1909,5,5,4,0
961,0,5,0,1
1384,6,5,6,1
1423,3,5,6,0
1851,2,5,6,0
1042,6,5,4,0
1734,8,5,9,0
1093,2,5,5,0
1355,6,5,6,1
1880,5,5,4,0
1610,1,5,1,1
1271,3,4,4,0
1975,8,5,8,1
1507,0,2,7,0
1166,4,5,8,0
1799,0,4,0,1
1748,9,4,3,0
894,3,5,7,0
1329,2,5,7,0
1617,1,5,6,0
1276,0,5,0,1
1500,3,5,3,1
1972,6,5,6,1
1161,8,5,8,1
1458,5,4,2,0
1039,5,5,1,0
893,3,5,6,0
1489,3,5,3,1
966,5,5,3,0
1856,3,5,3,1
1424,5,4,7,0
1383,7,5,7,1
1045,4,5,4,1
1094,0,5,0,1
1733,4,4,8,0
1887,6,5,3,0
1352,8,5,0,0
1619,6,4,6,1
1278,9,5,8,0
914,5,4,5,1
1824,1,5,1,1
1456,9,5,9,1
1790,3,5,3,1
1037,7,5,7,1
1741,4,5,4,1
1320,0,5,0,1
1487,3,5,3,1
1665,0,5,0,1
1204,5,5,5,1
1572,1,4,1,1
1900,8,5,0,0
968,7,5,7,1
1113,8,4,0,0
1858,3,4,2,0
1889,5,5,5,1
1662,2,5,8,0
1203,8,5,8,1
1907,7,5,3,0
1575,2,5,2,1
1114,1,4,1,1
1509,5,5,5,1
1168,3,3,7,0
913,0,5,4,0
1451,0,5,1,0
1823,3,4,4,0
1030,6,5,3,0
1797,9,5,9,1
1746,2,5,2,1
1480,5,5,8,0
1327,0,4,4,0
1121,0,3,4,0
1686,0,3,1,0
1932,3,5,3,1
1540,6,5,8,0
1591,1,5,1,1
1236,2,4,2,1
1657,7,4,7,1
1079,6,4,8,0
1418,6,5,1,0
926,7,5,7,1
1312,2,5,7,0
1773,6,3,8,0
1005,2,5,3,0
1464,7,3,7,1
1816,5,5,7,0
921,5,3,5,1
1949,3,5,3,1
1315,3,5,0,0
1774,1,5,1,1
879,0,5,0,1
1002,5,4,4,0
1811,5,5,2,0
1463,8,5,9,0
1681,4,4,0,0
1126,2,5,2,1
1547,4,3,6,0
1935,7,4,7,1
1231,1,5,1,1
1596,2,4,0,0
1650,2,5,2,1
1369,0,5,2,0
1708,6,3,6,1
1154,6,5,3,0
1535,3,5,3,1
1947,3,5,5,0
1292,7,5,7,1
1243,1,5,1,1
1185,8,5,8,1
1622,4,4,4,1
877,1,5,8,0
1128,6,4,3,0
953,8,5,2,0
1549,5,5,5,1
1598,0,5,0,1
982,6,4,6,1
1367,2,4,2,1
1706,2,5,2,1
1070,4,5,4,1
1863,2,4,8,0
