id,model_answer,confidence,correct_answer,is_correct
0,3,5,1,0
2,3,5,3,1
3,2,4,1,0
4,3,5,3,1
5,3,5,2,0
6,3,4,2,0
7,3,5,3,1
8,3,5,3,1
9,1,4,1,1
10,3,5,2,0
11,2,4,1,0
12,3,5,2,0
13,3,5,1,0
14,2,4,1,0
15,1,5,1,1
16,3,5,3,1
17,0,5,0,1
18,3,5,1,0
19,3,5,2,0
20,3,5,3,1
21,3,5,2,0
22,3,5,3,1
23,3,5,3,1
24,3,5,3,1
25,2,4,2,1
26,3,5,2,0
27,3,5,0,0
28,3,4,3,1
29,3,5,3,1
30,2,4,1,0
31,2,4,1,0
32,3,5,3,1
33,3,5,3,1
34,3,5,2,0
35,3,5,3,1
36,3,5,3,1
37,3,5,3,1
38,2,4,1,0
39,3,4,2,0
40,1,5,1,1
41,3,5,1,0
42,3,4,1,0
43,3,4,1,0
44,1,5,1,1
45,2,4,1,0
46,3,5,3,1
47,3,5,3,1
48,0,5,3,0
49,3,5,3,1
50,2,5,2,1
51,1,5,1,1
52,0,5,0,1
53,3,5,3,1
54,3,5,3,1
55,1,5,1,1
56,3,5,1,0
57,0,5,0,1
58,3,5,3,1
59,3,4,2,0
60,0,5,0,1
61,2,5,1,0
62,3,5,3,1
63,3,4,2,0
64,3,5,2,0
65,3,5,3,1
66,3,5,3,1
67,2,5,2,1
68,0,5,3,0
69,3,5,2,0
70,3,5,3,1
71,3,5,2,0
72,0,5,0,1
73,3,5,3,1
74,3,5,3,1
75,3,5,2,0
76,3,5,2,0
77,3,5,2,0
78,3,5,1,0
79,0,5,0,1
80,3,4,2,0
81,1,5,1,1
82,3,4,1,0
83,3,5,3,1
84,1,5,1,1
85,3,5,3,1
86,3,5,2,0
