id,model_answer,confidence,correct_answer,is_correct
21645374,0,4,0,1
16418930,2,4,1,0
9488747,2,4,0,0
17208539,1,5,1,1
10808977,0,5,0,1
23831910,0,4,0,1
26037986,0,5,2,0
26852225,0,4,1,0
17113061,1,5,1,1
10966337,0,5,0,1
25432938,0,5,0,1
18847643,0,3,1,0
18239988,0,4,0,1
25957366,1,5,1,1
24866606,0,5,0,1
26578404,0,4,0,1
11729377,2,3,0,0
17096624,0,5,0,1
22694248,0,5,0,1
22990761,0,5,0,1
19394934,0,4,0,1
11481599,0,4,0,1
21669959,0,5,0,1
23806388,0,4,0,1
17919952,0,3,0,1
10966943,2,4,1,0
23690198,0,4,0,1
17940352,2,4,2,1
20537205,2,4,0,0
28707539,0,5,0,1
7482275,2,3,1,0
24183388,0,4,2,0
9645785,1,4,1,1
26298839,0,4,0,1
24153338,0,4,0,1
18534072,1,4,1,1
8847047,2,3,1,0
10575390,0,4,1,0
20084845,0,5,0,1
15703931,0,5,1,0
18269157,0,4,0,1
25489696,0,4,0,1
14599616,2,4,2,1
22537902,2,3,1,0
19054501,2,4,0,0
16432652,0,5,0,1
19504993,0,5,0,1
20571467,0,4,0,1
24237112,0,5,0,1
21402341,2,4,1,0
20082356,2,4,2,1
26606599,0,4,2,0
11340218,2,3,1,0
25481573,0,5,0,1
25277731,0,5,2,0
25475395,2,4,0,0
23177368,1,4,1,1
17179167,2,3,2,1
14612308,2,3,1,0
27491658,0,4,0,1
19822586,0,4,0,1
27643961,0,4,1,0
23539689,0,5,0,1
22453060,0,5,0,1
22227642,0,4,1,0
12380309,1,4,1,1
22186742,1,5,1,1
22188074,0,5,0,1
27989969,1,4,1,1
18607272,0,5,0,1
18235194,1,4,2,0
18049437,2,3,0,0
15597845,0,4,0,1
24996865,0,5,0,1
23361217,0,4,0,1
17489316,0,4,2,0
14518645,0,4,0,1
20337202,2,4,2,1
26449554,1,4,0,0
26215326,0,5,0,1
29112560,0,4,0,1
24315783,2,4,0,0
9381529,0,5,0,1
8985020,0,4,0,1
26708803,1,4,2,0
22427593,1,5,2,0
11570976,2,3,2,1
19757704,0,5,0,1
27592038,0,4,0,1
27044366,2,4,2,1
9792366,0,4,0,1
17562682,1,4,2,0
15800018,0,4,0,1
14978612,0,4,0,1
18843057,1,5,1,1
23076787,2,4,1,0
9199905,0,4,0,1
23999452,0,5,0,1
22534881,1,4,1,1
24785562,0,4,0,1
22564465,0,3,0,1
27456836,0,5,0,1
27287237,1,5,0,0
14697414,0,5,0,1
26686513,0,4,2,0
15530261,0,5,0,1
24160268,1,3,2,0
21823940,2,4,1,0
27217036,2,3,0,0
18565233,2,4,0,0
19694846,1,5,2,0
27184293,0,4,2,0
19459018,1,4,1,1
22042121,2,4,1,0
16100194,1,4,1,1
25480629,0,4,2,0
17453263,0,5,0,1
18322741,0,4,0,1
19106867,0,4,0,1
25691513,0,4,0,1
11035130,0,5,0,1
19409117,0,5,0,1
21900017,0,5,0,1
16968876,0,5,2,0
18540901,0,5,0,1
27448572,0,5,0,1
17621202,0,4,2,0
25987398,2,2,2,1
16816043,1,4,2,0
12920330,2,4,2,1
23497210,0,4,1,0
21952349,2,3,0,0
21712147,0,3,1,0
25311479,0,4,0,1
20602784,0,4,0,1
12836106,0,5,0,1
25588461,0,4,0,1
19299238,0,3,0,1
22706226,0,5,2,0
12913878,0,4,0,1
16769333,0,5,0,1
22497340,0,4,0,1
10223070,0,4,2,0
8566975,1,5,1,1
25186850,2,3,0,0
9427037,0,4,0,1
28359277,0,4,1,0
11411430,0,4,2,0
16956164,0,5,0,1
15687156,0,4,1,0
28127977,1,4,1,1
16809243,1,5,1,1
17276182,0,4,0,1
21123461,0,4,0,1
22428608,0,5,0,1
27858166,0,4,0,1
23791827,0,5,0,1
18243752,2,3,2,1
17279467,1,5,2,0
22758782,1,5,1,1
15223725,0,5,0,1
19482903,0,3,0,1
25752912,1,5,1,1
21946341,1,5,1,1
16428354,0,5,0,1
19302863,2,3,0,0
24245816,0,5,0,1
24666444,1,4,1,1
19913785,1,5,1,1
1571683,0,5,2,0
15631914,2,4,1,0
11970923,0,4,0,1
20121683,0,5,0,1
27281318,0,4,0,1
12846929,2,4,0,0
26505821,0,4,2,0
25156467,0,5,0,1
22023714,1,5,1,1
16046584,2,4,0,0
16155169,1,4,1,1
19398929,1,5,1,1
28143468,0,5,0,1
9483814,2,3,0,0
22720085,0,5,0,1
24748473,0,5,0,1
15588538,2,3,1,0
22211919,0,4,2,0
24433626,0,5,0,1
9542484,1,4,1,1
17008699,1,5,1,1
23228527,1,5,1,1
15489384,0,4,0,1
17444776,0,4,0,1
8422202,1,4,1,1
23794696,1,5,1,1
20549895,0,4,1,0
18714572,2,3,2,1
2224269,0,4,0,1
8910148,0,3,0,1
23899611,0,5,0,1
10548670,0,5,0,1
26907557,0,5,0,1
20871246,2,4,2,1
22876568,1,4,1,1
15280782,1,5,1,1
17502203,1,5,1,1
26370095,0,4,0,1
10354335,0,5,0,1
26452334,0,3,0,1
15065192,0,5,0,1
25488308,0,4,1,0
22449464,0,5,0,1
26222664,0,4,0,1
22617083,1,4,0,0
9767546,0,4,0,1
21214884,1,5,1,1
23321509,0,5,0,1
16827975,1,4,1,1
18179827,0,4,0,1
14872327,0,5,0,1
24809662,1,5,1,1
26485091,1,4,1,1
12805495,2,4,2,1
19925761,1,5,1,1
11458136,1,4,2,0
20382292,0,5,0,1
22236315,0,5,1,0
17051586,1,5,1,1
25007420,0,4,2,0
26556589,1,5,1,1
12612531,0,4,0,1
26194560,1,5,0,0
11079675,0,4,0,1
21459725,1,5,1,1
21172844,0,5,0,1
24946973,2,4,2,1
17335331,2,4,0,0
27581329,0,5,0,1
11867487,1,4,2,0
12765819,2,3,0,0
24507422,0,4,0,1
9854965,0,5,0,1
21756515,0,4,2,0
19131405,2,4,0,0
18568290,0,4,2,0
18667100,1,5,1,1
9191526,0,5,0,1
10605400,2,4,2,1
17601244,0,5,0,1
20608141,1,4,1,1
25986020,0,4,0,1
15670262,0,4,0,1
22900881,2,4,1,0
11413427,1,5,1,1
9602458,1,5,1,1
24434052,0,5,2,0
17598882,0,4,0,1
21190419,1,5,1,1
16403186,1,5,1,1
11888773,2,4,1,0
25940336,0,5,0,1
24014276,0,4,0,1
18359123,2,3,1,0
26113007,1,4,1,1
11838307,1,5,1,1
