id,model_answer,confidence,correct_answer,is_correct
2,5,5,3,0
3,3,5,4,0
4,2,5,4,0
5,7,5,5,0
6,2,5,0,0
8,4,5,2,0
9,0,1,4,0
10,3,5,5,0
11,5,5,5,1
12,6,5,2,0
13,1,4,7,0
14,3,5,3,1
15,0,5,10,0
16,1,4,1,1
17,4,4,9,0
19,1,5,13,0
21,0,5,0,1
22,2,5,2,1
23,1,5,1,1
24,1,5,4,0
25,4,5,0,0
26,1,4,1,1
27,1,5,0,0
28,0,5,0,1
29,3,5,3,1
30,3,5,2,0
31,6,5,6,1
34,1,4,2,0
35,4,5,9,0
38,0,5,9,0
39,1,5,9,0
42,0,1,3,0
44,2,5,9,0
45,6,3,5,0
46,3,5,1,0
47,1,5,1,1
48,3,5,3,1
49,5,5,6,0
50,2,1,3,0
51,1,5,1,1
52,3,5,0,0
53,0,5,0,1
54,6,5,6,1
55,3,5,8,0
56,6,5,3,0
57,2,4,3,0
58,5,5,5,1
59,3,5,3,1
60,1,5,1,1
61,3,5,0,0
62,1,5,1,1
63,4,5,4,1
64,3,5,3,1
65,1,5,2,0
66,3,5,3,1
67,3,5,3,1
68,0,5,5,0
69,0,5,1,0
70,0,5,3,0
71,5,5,5,1
72,0,5,0,1
73,6,5,6,1
74,8,5,5,0
75,2,5,6,0
76,3,5,3,1
77,4,5,4,1
78,2,5,7,0
79,1,4,3,0
80,3,1,5,0
81,4,5,4,1
82,5,1,6,0
83,6,5,4,0
84,2,5,2,1
85,1,5,1,1
86,0,3,0,1
87,3,1,3,1
88,0,5,3,0
89,1,5,0,0
90,0,4,5,0
91,3,5,3,1
92,1,5,6,0
93,1,5,1,1
94,2,5,2,1
95,2,5,4,0
96,4,5,1,0
97,6,5,0,0
98,0,5,4,0
99,1,5,2,0
100,7,5,7,1
101,0,5,1,0
103,2,5,3,0
104,3,5,2,0
105,0,5,0,1
106,6,5,0,0
108,4,5,4,1
109,1,5,1,1
110,5,5,5,1
111,4,5,4,1
112,5,5,5,1
113,6,5,6,1
114,0,1,4,0
115,5,1,6,0
116,5,5,5,1
117,1,1,4,0
118,3,5,0,0
119,2,1,2,1
120,4,5,4,1
121,6,5,5,0
122,3,5,0,0
123,6,5,0,0
124,2,5,2,1
125,2,5,2,1
126,4,5,5,0
127,0,5,5,0
128,0,5,0,1
129,1,1,1,1
130,2,5,2,1
