id,model_answer,confidence,correct_answer,is_correct
40,1,5,1,1
41,2,5,2,1
42,3,5,3,1
43,0,5,0,1
44,2,5,2,1
45,3,5,3,1
46,0,5,0,1
47,0,5,0,1
48,3,5,4,0
49,4,5,4,1
50,0,5,0,1
51,3,5,3,1
52,3,5,0,0
53,2,5,2,1
54,4,5,4,1
55,2,5,3,0
56,1,5,1,1
57,1,5,1,1
58,3,5,3,1
59,2,5,2,1
199,2,5,2,1
200,3,5,2,0
201,1,5,1,1
202,1,5,1,1
203,2,5,2,1
204,0,5,3,0
205,3,5,3,1
206,3,5,0,0
207,0,5,2,0
208,1,5,1,1
209,1,5,1,1
210,3,5,0,0
211,4,5,3,0
212,2,5,0,0
213,1,5,2,0
214,1,5,1,1
215,0,5,4,0
216,4,5,4,1
217,0,5,3,0
218,1,5,1,1
219,1,5,1,1
220,3,5,3,1
221,1,5,4,0
222,1,5,1,1
223,1,5,1,1
224,4,5,4,1
225,2,5,0,0
226,3,5,2,0
227,2,5,2,1
228,3,5,3,1
229,3,5,3,1
230,1,4,3,0
231,2,5,2,1
232,0,5,2,0
233,4,5,3,0
234,3,5,0,0
235,0,5,0,1
236,3,4,3,1
237,1,5,1,1
238,1,5,1,1
239,2,5,2,1
240,3,5,3,1
241,0,4,0,1
242,4,5,4,1
243,1,5,1,1
244,1,5,1,1
245,1,5,1,1
246,2,5,0,0
247,3,5,3,1
248,4,5,0,0
249,1,5,3,0
250,1,5,2,0
251,3,5,3,1
252,1,5,1,1
253,4,5,1,0
254,3,5,4,0
255,1,5,1,1
256,1,5,4,0
257,2,5,0,0
258,4,5,4,1
260,2,5,2,1
261,2,5,1,0
262,4,5,0,0
263,1,5,1,1
264,4,5,4,1
265,1,4,2,0
266,2,5,2,1
268,2,5,2,1
269,2,5,4,0
270,2,5,4,0
271,1,5,1,1
272,3,5,3,1
273,0,5,4,0
275,4,2,2,0
276,1,5,1,1
277,2,5,2,1
278,3,5,4,0
299,3,5,3,1
300,4,5,2,0
301,4,5,3,0
302,4,5,3,0
303,3,5,3,1
304,2,5,2,1
305,2,5,4,0
306,3,5,3,1
307,2,5,3,0
308,3,5,3,1
309,1,5,1,1
310,2,5,0,0
311,2,5,2,1
312,3,5,3,1
313,0,5,2,0
314,2,5,2,1
315,4,5,0,0
316,3,5,3,1
317,0,5,0,1
318,4,5,2,0
344,0,5,0,1
345,4,5,4,1
346,3,5,3,1
347,2,5,2,1
348,1,5,2,0
349,4,5,4,1
350,0,5,0,1
351,2,5,2,1
352,4,5,4,1
353,0,5,0,1
354,0,5,0,1
355,2,5,3,0
356,3,5,3,1
357,1,5,1,1
358,2,5,2,1
359,3,5,0,0
360,0,5,0,1
361,0,5,0,1
362,3,5,1,0
363,3,5,4,0
384,3,5,2,0
386,2,5,0,0
387,3,5,4,0
388,3,5,0,0
389,1,4,0,0
390,2,5,3,0
391,2,5,3,0
392,3,5,1,0
393,0,4,4,0
395,0,5,3,0
396,1,5,3,0
