id,model_answer,confidence,correct_answer,is_correct
47831,1,5,2,0
47833,2,4,2,0
47841,3,5,3,0
47854,1,4,2,0
47855,0,4,3,0
47861,1,4,0,0
47869,0,5,4,0
47878,3,5,3,0
47882,3,5,4,0
47908,4,5,4,0
47953,4,5,3,0
47955,1,5,1,0
47958,1,5,1,0
47967,0,4,0,0
47974,3,4,1,0
47986,4,3,4,0
47989,1,5,1,0
47996,0,4,0,0
48002,1,5,1,0
48005,1,5,0,0
48022,2,5,2,0
48038,3,5,1,0
48044,4,5,4,0
48050,2,5,1,0
48061,1,5,1,0
48064,3,2,4,0
48066,4,4,4,0
48073,3,5,3,0
48076,2,5,2,0
48084,3,5,1,0
48098,0,3,3,0
48109,4,4,4,0
48114,4,5,4,0
48124,4,5,4,0
48138,1,5,1,0
48141,1,5,2,0
48142,3,5,3,0
48153,4,4,4,0
48177,1,5,1,0
48207,1,5,1,0
48211,1,5,1,0
48212,3,5,3,0
48255,1,5,0,0
48257,1,5,1,0
48260,3,5,3,0
48264,2,5,2,0
48265,4,5,4,0
48278,1,5,1,0
48279,1,4,4,0
48284,2,4,2,0
48286,4,5,4,0
48305,0,5,0,0
48327,1,5,1,0
48329,1,4,3,0
48340,0,5,0,0
48389,2,5,2,0
48409,0,5,0,0
48414,3,5,3,0
48469,4,5,4,0
48501,1,5,1,0
48503,4,5,4,0
48521,3,5,2,0
48523,2,4,0,0
48569,2,5,2,0
48573,3,4,3,0
48574,2,5,2,0
48590,3,5,3,0
48601,3,5,1,0
48606,1,5,1,0
48612,4,5,4,0
48614,1,5,0,0
48617,2,5,0,0
48619,3,4,3,0
48628,1,5,1,0
48632,1,4,1,0
48640,4,5,4,0
48649,2,5,2,0
48696,2,5,2,0
48699,3,4,3,0
48733,3,5,2,0
48734,3,5,3,0
48736,4,5,0,0
48755,2,5,2,0
48758,1,5,4,0
48813,4,5,4,0
48822,2,5,2,0
48828,3,5,0,0
48847,2,5,3,0
48854,2,5,2,0
48856,2,4,4,0
48879,2,5,2,0
48883,0,5,0,0
48885,4,5,1,0
48891,0,4,0,0
48896,0,1,1,0
48901,1,5,1,0
48910,1,5,1,0
48928,3,5,0,0
48934,4,5,4,0
48972,4,5,4,0
48981,3,4,0,0
48984,1,5,1,0
49008,4,5,4,0
49048,3,5,3,0
49069,1,5,1,0
49098,3,5,0,0
49110,0,5,0,0
49120,1,4,3,0
49140,4,5,1,0
49145,0,5,0,0
49152,3,4,0,0
49169,0,4,2,0
49192,3,5,3,0
49194,1,5,1,0
49213,3,5,3,0
49215,4,5,4,0
49225,3,3,3,0
49229,1,5,0,0
49243,3,5,3,0
49254,0,4,0,0
49270,4,5,0,0
49282,1,4,3,0
49286,0,5,0,0
49291,1,5,1,0
49306,0,4,2,0
49312,1,5,0,0
49317,0,5,0,0
49342,1,4,1,0
49401,2,5,2,0
49410,1,5,1,0
49412,3,5,3,0
49425,1,5,1,0
49439,4,4,0,0
49451,1,5,1,0
49501,3,5,3,0
49522,2,5,3,0
49543,3,5,3,0
49557,4,5,4,0
49591,2,4,2,0
49625,0,5,0,0
49657,2,4,0,0
49661,4,5,2,0
49675,3,5,3,0
49677,2,5,2,0
49681,2,5,3,0
49700,0,5,3,0
49716,0,5,0,0
49748,0,5,0,0
49773,2,5,2,0
49777,2,5,2,0
49780,2,5,2,0
49797,1,5,2,0
49816,4,5,4,0
49819,4,5,4,0
49844,3,5,3,0
49845,2,5,2,0
49848,4,4,0,0
49857,2,5,2,0
49864,2,5,2,0
49869,4,5,1,0
49870,2,5,2,0
49874,3,5,4,0
49880,4,4,3,0
49917,3,5,3,0
49919,4,4,4,0
49920,3,5,4,0
49936,2,5,2,0
49947,4,5,4,0
49983,1,5,1,0
50004,4,5,4,0
50005,1,5,1,0
50007,4,4,4,0
50008,3,4,3,0
50010,4,5,4,0
50028,4,4,0,0
50035,1,5,1,0
50037,3,5,3,0
50049,0,4,0,0
50067,1,5,1,0
50073,2,5,2,0
50123,4,5,1,0
50124,0,5,0,0
50126,4,5,4,0
50146,3,5,2,0
50148,3,5,3,0
50159,2,5,2,0
50174,3,5,0,0
50196,0,2,4,0
50204,2,5,1,0
50205,2,5,2,0
50247,3,4,3,0
50254,3,4,4,0
50262,4,5,4,0
50307,3,5,3,0
50308,4,5,4,0
50313,0,1,4,0
50320,1,5,1,0
50323,1,5,1,0
50325,2,4,2,0
50354,2,4,0,0
50369,0,4,0,0
50377,2,5,2,0
50395,3,4,3,0
50461,2,4,2,0
50464,3,5,3,0
50470,2,5,2,0
50474,3,4,3,0
50509,4,5,4,0
50511,4,4,1,0
50515,2,4,2,0
50555,1,5,1,0
50586,3,2,2,0
50592,1,4,1,0
50606,0,5,0,0
50609,3,4,1,0
50629,4,5,0,0
50632,2,5,2,0
50639,4,5,4,0
50641,3,5,3,0
50646,0,5,0,0
50647,3,5,3,0
50656,3,5,3,0
50663,1,5,1,0
50681,1,5,1,0
50711,2,5,1,0
50716,4,5,4,0
50718,1,5,1,0
50727,0,5,0,0
50749,3,4,3,0
50758,3,4,3,0
50792,3,5,3,0
50813,2,5,4,0
50821,4,5,4,0
50826,1,2,1,0
50834,4,5,4,0
50835,2,5,4,0
50837,1,5,1,0
50839,1,5,1,0
50848,3,5,0,0
50849,2,3,2,0
50863,1,4,1,0
50893,0,5,0,0
50907,0,4,2,0
50925,0,4,0,0
50937,4,5,0,0
50942,4,5,3,0
50977,4,4,0,0
50999,4,5,4,0
51008,4,5,4,0
51012,2,5,2,0
51024,2,5,1,0
51052,2,3,2,0
51056,4,5,4,0
51088,0,4,0,0
51092,2,4,2,0
51098,3,5,3,0
51146,0,5,0,0
51149,4,5,4,0
51150,2,5,2,0
51151,2,5,2,0
51162,1,5,1,0
51166,3,4,3,0
51216,2,4,0,0
51219,4,5,4,0
51277,3,5,3,0
51288,2,5,2,0
51308,2,5,2,0
51347,2,5,2,0
51369,3,5,3,0
51395,2,4,2,0
51416,1,4,0,0
51426,4,5,4,0
51431,1,4,1,0
51435,2,4,2,0
51494,1,5,4,0
51495,3,5,0,0
51529,4,4,3,0
51532,3,4,0,0
51562,2,5,2,0
51595,0,5,0,0
51622,4,5,4,0
51627,1,5,1,0
51637,3,4,4,0
51642,2,5,0,0
51662,1,4,0,0
51677,4,5,4,0
51684,3,5,3,0
51687,2,4,1,0
51691,3,4,3,0
51696,1,4,2,0
51730,2,5,0,0
51773,2,5,2,0
51775,2,3,3,0
51778,3,4,0,0
51791,3,5,3,0
51805,2,5,4,0
51811,3,4,0,0
51825,4,5,2,0
51826,1,5,1,0
51828,3,4,1,0
51832,2,4,4,0
51838,3,5,3,0
51848,0,5,0,0
51858,3,5,3,0
51865,4,5,4,0
51873,2,5,1,0
51892,2,5,4,0
51895,2,5,2,0
51896,1,5,1,0
51904,2,5,2,0
51922,1,5,1,0
51932,4,5,2,0
51942,0,5,3,0
51953,1,5,4,0
51974,3,5,3,0
51978,0,4,0,0
51992,0,5,0,0
52005,2,5,2,0
52016,3,5,3,0
52020,3,5,3,0
52028,3,4,3,0
52029,1,5,1,0
52037,3,4,3,0
52038,0,5,0,0
52100,3,5,3,0
52103,3,2,3,0
52106,3,5,4,0
52111,3,5,3,0
52112,2,5,2,0
52115,2,5,2,0
52132,4,5,4,0
52159,1,5,2,0
52201,2,5,4,0
52210,2,3,1,0
52241,2,4,3,0
52242,3,4,3,0
52246,4,5,4,0
52285,2,5,2,0
52287,2,5,4,0
52289,3,5,3,0
52308,4,5,4,0
52372,2,5,2,0
52376,2,3,4,0
52379,2,5,2,0
52401,1,5,1,0
52404,0,4,0,0
52418,2,5,0,0
52433,1,5,3,0
52460,3,5,3,0
52466,2,5,2,0
52477,1,5,1,0
52493,3,5,0,0
52504,4,5,4,0
52523,2,5,2,0
52528,3,4,4,0
