id,model_answer,confidence,correct_answer,is_correct
548,2,5,2,1
599,3,5,4,0
862,1,4,0,0
534,1,5,0,0
946,0,5,0,1
242,2,3,4,0
941,4,4,4,1
533,1,5,1,1
245,1,3,1,1
239,2,4,2,1
361,1,5,0,0
1018,0,4,0,1
865,0,5,1,0
313,2,3,2,1
465,2,5,2,1
933,1,5,1,1
541,2,3,4,0
237,2,5,1,0
590,2,2,2,1
1016,3,5,3,1
546,2,5,4,0
934,0,5,3,0
597,2,5,4,0
230,3,5,3,1
1011,1,4,1,1
314,2,5,2,1
462,0,4,0,1
205,3,5,3,1
573,2,2,4,0
901,0,1,1,0
1024,3,5,3,1
859,4,2,4,1
888,1,5,2,0
457,3,5,3,1
450,3,5,3,1
202,3,5,1,0
59,2,5,2,1
906,2,5,2,1
574,3,4,4,0
1023,3,4,2,0
270,4,5,4,1
57,1,5,1,1
908,2,3,1,0
385,3,5,3,1
881,3,5,0,0
354,2,4,0,0
50,0,5,0,1
857,2,5,3,0
353,1,5,0,0
886,0,3,4,0
277,2,5,2,1
459,0,5,0,1
897,4,5,2,0
434,2,5,3,0
846,3,1,1,0
393,4,5,4,1
41,2,5,2,1
448,1,5,1,1
266,2,2,2,1
1040,3,5,3,1
261,2,5,1,0
600,3,5,4,0
345,1,3,4,0
890,3,5,3,1
394,2,5,0,0
841,2,3,1,0
433,3,3,3,1
46,0,5,0,1
919,3,5,2,0
833,0,1,4,0
441,1,3,1,1
1032,4,5,4,1
48,3,4,4,0
917,1,2,3,0
213,2,4,2,1
899,1,5,4,0
848,2,4,4,0
1035,2,5,1,0
214,1,3,1,1
446,0,4,4,0
834,0,3,1,0
268,2,5,2,1
221,4,5,4,1
586,2,5,4,0
925,2,5,0,0
305,4,5,4,1
302,3,5,3,1
1007,0,5,0,1
581,0,3,1,0
226,3,5,2,0
550,3,5,3,1
922,1,4,4,0
254,0,1,4,0
874,3,2,1,0
1009,1,4,1,1
228,3,5,3,1
401,3,4,3,1
873,0,5,0,1
588,2,5,2,1
253,1,5,1,1
51,3,5,3,1
856,2,4,1,0
887,0,5,3,0
352,4,5,4,1
276,2,4,1,0
458,3,4,0,0
271,2,4,1,0
56,1,5,1,1
909,4,3,0,0
384,2,4,2,1
851,0,4,3,0
355,3,5,3,1
880,2,1,1,0
451,1,5,1,1
203,2,5,2,1
58,3,5,3,1
907,2,3,3,0
575,0,3,3,0
1022,3,5,2,0
204,1,4,3,0
572,3,5,2,0
900,2,4,2,1
858,2,5,2,1
1025,2,5,2,1
889,2,5,2,1
278,3,3,4,0
456,2,4,0,0
547,1,5,1,1
935,0,5,0,1
231,2,5,2,1
596,0,5,0,1
1010,3,5,3,1
315,0,5,0,1
463,1,5,1,1
312,3,5,3,1
464,0,5,0,1
932,0,5,0,1
540,1,5,1,1
591,0,5,1,0
236,3,4,3,1
1017,0,5,0,1
940,3,5,4,0
532,2,5,4,0
244,1,3,1,1
238,1,5,1,1
360,0,5,0,1
864,4,5,2,0
1019,2,4,2,1
549,4,5,4,1
598,0,5,2,0
863,4,5,1,0
535,3,3,4,0
243,1,4,1,1
400,2,3,3,0
872,2,5,0,0
589,1,5,1,1
252,1,5,1,1
255,1,3,1,1
1008,0,5,0,1
875,4,3,2,0
229,3,5,3,1
303,3,5,3,1
227,3,2,2,0
580,4,5,2,0
923,0,3,3,0
587,2,4,4,0
220,3,3,3,1
924,2,3,4,0
304,2,4,2,1
898,0,5,3,0
1034,0,5,0,1
849,3,4,2,0
911,2,3,3,0
215,0,4,4,0
447,0,5,0,1
835,2,3,0,0
269,2,5,4,0
832,2,3,4,0
440,2,5,1,0
1033,1,4,1,1
49,4,5,4,1
212,2,3,0,0
1041,0,5,0,1
260,2,5,2,1
601,1,5,4,0
891,4,3,4,1
344,0,5,0,1
840,3,5,1,0
432,2,4,3,0
395,1,3,3,0
47,0,5,0,1
918,0,4,2,0
896,3,4,3,1
392,2,2,1,0
435,2,5,1,0
847,1,5,3,0
40,1,5,1,1
449,2,5,4,0
1046,2,5,2,1
267,1,3,1,1
606,0,3,0,1
256,3,5,4,0
876,2,1,2,1
871,1,4,3,0
403,2,4,2,1
929,3,5,2,0
309,1,5,1,1
251,3,5,3,1
584,4,3,4,1
223,2,5,1,0
927,2,3,1,0
307,2,3,3,0
199,2,4,2,1
300,2,5,2,1
258,3,2,4,0
878,2,3,3,0
224,3,5,4,0
583,3,3,3,1
920,1,4,0,0
443,4,4,4,1
831,1,5,0,0
349,4,5,4,1
398,2,5,1,0
1030,3,3,3,1
915,2,4,3,0
567,3,5,4,0
211,3,5,3,1
1037,4,5,4,1
438,0,5,0,1
912,3,5,4,0
216,2,5,4,0
836,4,5,1,0
444,3,3,2,0
895,4,3,1,0
1039,2,5,2,1
391,0,4,3,0
844,2,4,2,1
436,2,5,1,0
43,0,4,0,1
218,1,3,1,1
838,1,1,3,0
1045,4,5,0,0
605,0,5,1,0
264,2,5,4,0
1042,0,5,0,1
602,0,5,0,1
263,1,4,1,1
892,2,5,0,0
347,2,5,2,1
431,2,5,2,1
843,2,3,4,0
396,3,5,3,1
569,4,5,4,1
44,2,4,2,1
272,3,5,3,1
578,1,3,3,0
55,3,5,3,1
387,2,5,4,0
356,3,5,3,1
883,0,4,3,0
209,1,3,1,1
52,0,5,0,1
855,4,1,2,0
1028,1,5,1,1
884,4,5,0,0
351,2,5,2,1
275,2,4,2,1
829,1,5,1,1
207,4,3,2,0
903,2,4,2,1
571,0,5,4,0
429,2,1,2,1
1026,4,5,4,1
455,1,5,3,0
827,2,4,2,1
452,2,5,2,1
200,2,4,2,1
576,1,5,2,0
904,1,3,0,0
389,0,5,0,1
1021,3,5,3,1
358,2,5,2,1
249,1,4,3,0
311,2,5,2,1
543,2,3,0,0
931,0,5,1,0
592,1,4,2,0
235,0,5,0,1
869,4,3,2,0
1014,2,4,2,1
936,2,5,3,0
544,0,5,0,1
232,3,5,2,0
595,0,2,0,1
1013,1,5,1,1
538,3,5,4,0
316,3,5,3,1
460,3,5,0,0
938,0,5,0,1
860,2,3,0,0
944,1,5,3,0
536,0,5,0,1
240,3,5,3,1
318,2,5,2,1
531,1,5,0,0
943,0,5,3,0
247,3,5,3,1
