id,model_answer,confidence,correct_answer,is_correct
0,2,5,1,0
2,3,5,3,1
3,2,5,1,0
4,3,5,3,1
5,3,5,2,0
6,2,4,2,1
7,1,3,3,0
8,3,5,3,1
9,2,5,1,0
10,3,5,2,0
11,2,5,1,0
12,2,5,2,1
13,3,5,1,0
14,2,5,1,0
15,2,5,1,0
16,3,5,3,1
17,0,5,0,1
18,3,5,1,0
19,3,5,2,0
20,3,5,3,1
21,2,3,2,1
22,3,5,3,1
23,3,5,3,1
24,3,5,3,1
25,2,5,2,1
26,2,5,2,1
27,3,5,0,0
28,2,3,3,0
29,3,5,3,1
30,2,3,1,0
31,1,3,1,1
32,3,5,3,1
33,2,4,3,0
34,3,5,2,0
35,3,5,3,1
36,3,5,3,1
37,3,5,3,1
38,2,5,1,0
39,3,3,2,0
40,1,5,1,1
41,2,5,1,0
42,2,4,1,0
43,3,5,1,0
44,2,5,1,0
45,2,5,1,0
46,3,5,3,1
47,3,5,3,1
48,0,2,3,0
49,3,5,3,1
50,2,4,2,1
51,2,5,1,0
52,0,5,0,1
53,3,5,3,1
54,3,5,3,1
55,2,5,1,0
56,2,5,1,0
57,0,5,0,1
58,3,4,3,1
59,2,3,2,1
60,0,5,0,1
61,2,5,1,0
62,3,5,3,1
63,2,3,2,1
64,3,5,2,0
65,3,5,3,1
66,3,4,3,1
67,2,5,2,1
68,3,5,3,1
69,2,5,2,1
70,3,5,3,1
71,3,4,2,0
72,0,5,0,1
73,3,5,3,1
74,3,5,3,1
75,3,5,2,0
76,2,4,2,1
77,3,5,2,0
78,2,5,1,0
79,0,5,0,1
80,3,5,2,0
81,2,5,1,0
82,3,5,1,0
83,3,5,3,1
84,2,5,1,0
85,3,5,3,1
86,3,5,2,0
