id,model_answer,confidence,correct_answer,is_correct
1451,0,5,0,1
7393,0,4,0,1
5076,2,5,2,1
4191,2,2,0,0
4982,1,5,1,1
1509,0,5,1,0
4064,1,5,1,1
1662,0,5,0,1
3641,0,5,0,1
718,1,5,1,1
2812,2,5,2,1
581,2,5,0,0
14366,0,5,0,1
1858,2,5,2,1
696,2,5,2,1
5623,2,5,1,0
4928,2,5,2,1
1113,0,5,0,1
3646,0,3,0,1
2815,1,5,1,1
3227,2,4,2,1
4769,2,5,0,0
1037,2,3,1,0
2122,1,5,1,1
1487,1,3,2,0
1741,2,5,0,0
763,1,5,1,1
5410,2,4,2,1
2150,1,5,1,1
2531,2,1,0,0
3407,2,5,2,1
3066,0,5,0,1
4692,0,1,0,1
4643,2,5,2,1
635,0,3,2,0
192,1,5,1,1
15926,2,3,2,1
8076,2,5,2,1
9191,2,5,2,1
522,1,5,1,1
12710,1,5,1,1
1799,0,5,0,1
144,1,5,1,1
29,2,5,0,0
10734,2,5,2,1
3194,2,5,2,1
1042,1,5,1,1
3717,2,5,2,1
3872,1,5,1,1
3061,1,5,1,1
4921,0,5,0,1
3558,2,5,2,1
2318,2,5,2,1
3589,0,5,0,1
6317,1,5,2,0
266,0,5,0,1
8732,1,5,1,1
4755,0,1,2,0
8095,0,4,1,0
1701,1,5,1,1
2613,2,5,1,0
4439,2,5,2,1
8749,2,5,2,1
7302,2,5,2,1
6655,1,5,1,1
5321,1,5,1,1
2119,2,5,0,0
3759,0,1,2,0
3601,2,5,0,0
2883,1,5,1,1
7254,2,5,2,1
672,1,5,1,1
9566,0,5,0,1
5501,2,1,1,0
5459,2,5,2,1
2794,0,5,0,1
1650,0,4,0,1
13820,1,5,1,1
10547,2,3,0,0
6468,0,5,0,1
12105,0,5,0,1
756,0,5,0,1
6942,1,5,1,1
6151,1,5,1,1
5353,0,5,0,1
6246,1,5,1,1
10121,1,5,1,1
3447,1,5,1,1
8888,2,5,2,1
2110,1,4,0,0
751,1,5,1,1
6187,1,5,0,0
5354,2,5,2,1
780,0,5,0,1
4842,2,5,2,1
4430,2,5,2,1
9913,0,5,0,1
9100,1,5,1,1
4080,2,5,2,1
8740,1,5,1,1
10312,1,5,1,1
8279,0,5,0,1
1121,2,3,0,0
2034,2,5,2,1
5345,0,5,0,1
6526,1,5,1,1
9792,0,5,0,1
486,1,1,1,1
3320,0,5,0,1
11311,2,1,0,0
2495,2,4,0,0
12320,1,5,1,1
5965,0,5,2,0
664,2,5,2,1
4040,2,5,2,1
1924,2,5,1,0
5510,1,5,1,1
4047,0,5,0,1
5723,1,5,1,1
9744,1,5,1,1
1989,1,5,1,1
2915,2,5,2,1
6479,1,4,2,0
9979,0,5,0,1
6018,2,5,2,1
1013,1,5,2,0
9736,0,5,0,1
735,0,5,0,1
6695,2,5,2,1
354,1,5,1,1
1061,2,3,0,0
2602,2,5,2,1
13967,2,1,0,0
1524,1,5,1,1
2108,2,5,2,1
974,0,5,0,1
167,0,5,1,0
4826,0,1,0,1
3617,0,4,2,0
501,1,5,0,0
7934,0,5,0,1
4660,1,5,1,1
5787,0,5,1,0
353,1,5,0,0
7775,1,5,0,0
5519,0,5,0,1
4359,1,4,2,0
3424,1,5,1,1
3535,1,5,1,1
3154,2,5,2,1
4466,1,5,1,1
4814,1,3,1,1
534,2,5,2,1
9413,0,5,0,1
13871,2,5,2,1
44,2,5,2,1
2197,1,5,1,1
3070,2,5,2,1
6058,1,5,1,1
3706,2,5,2,1
2146,1,5,1,1
9075,0,5,0,1
7747,1,4,1,1
865,0,5,0,1
3077,2,5,2,1
1963,2,5,2,1
1511,0,4,2,0
3295,0,5,0,1
5586,1,5,1,1
1498,2,5,2,1
533,1,5,1,1
990,1,5,1,1
6109,0,5,0,1
11903,2,5,2,1
3540,2,5,2,1
3932,2,5,2,1
14138,0,5,0,1
13133,2,3,1,0
3686,0,5,0,1
9466,2,2,2,1
4537,2,5,2,1
1496,1,5,1,1
5138,1,5,1,1
3312,2,5,2,1
810,2,5,2,1
2223,1,5,0,0
9189,1,5,0,0
3315,1,5,1,1
10786,2,5,2,1
127,2,5,2,1
6341,2,5,2,1
6720,1,5,1,1
2199,2,5,2,1
608,2,5,2,1
7589,1,5,2,0
8889,2,5,1,0
6536,0,1,0,1
2428,1,5,1,1
331,0,1,2,0
9753,0,5,0,1
4515,1,5,0,0
10419,1,5,1,1
563,1,5,1,1
102,1,3,1,1
14384,1,1,1,1
4347,0,5,0,1
14734,1,5,1,1
13206,0,5,0,1
8278,2,5,2,1
9438,0,5,0,1
1120,0,5,2,0
1656,0,5,0,1
849,2,4,2,1
10465,1,5,1,1
13570,2,5,2,1
564,0,5,0,1
5617,0,5,0,1
4844,0,5,0,1
5458,0,5,0,1
2325,2,5,2,1
2482,0,5,0,1
14,1,5,1,1
10127,2,5,2,1
2905,2,5,2,1
7229,0,5,1,0
3337,1,5,0,0
5856,1,5,1,1
11149,2,1,1,0
5094,0,4,0,1
8114,1,5,1,1
3519,2,4,1,0
1862,1,3,1,1
1410,1,5,1,1
10184,2,3,2,1
1071,1,5,1,1
8271,1,5,1,1
1129,1,5,1,1
840,1,4,1,1
964,2,5,2,1
5665,0,5,0,1
177,0,5,0,1
1293,2,5,2,1
1242,0,5,0,1
6777,1,2,2,0
511,2,5,0,0
5662,0,1,0,1
10689,2,5,0,0
170,1,5,1,1
1941,0,5,0,1
6188,0,4,0,1
3846,2,5,2,1
722,2,5,2,1
5030,0,5,0,1
4106,1,5,1,1
9955,2,5,2,1
9280,1,1,1,1
194,1,5,1,1
1328,0,1,0,1
9197,1,5,1,1
4017,0,5,0,1
3282,0,1,0,1
2861,1,5,1,1
1506,1,5,1,1
10354,0,1,0,1
5312,2,5,2,1
4224,2,2,2,1
229,0,5,0,1
14708,2,5,2,1
1425,0,4,2,0
2246,2,5,2,1
1732,0,5,0,1
2627,0,5,0,1
5002,0,4,0,1
371,0,3,1,0
8991,0,5,0,1
9876,0,5,0,1
1038,2,5,2,1
634,0,5,0,1
1488,0,5,0,1
523,2,2,0,0
10857,1,5,1,1
3285,1,4,1,1
1501,1,5,2,0
6883,0,5,0,1
4403,1,5,2,0
2629,2,5,2,1
15309,2,5,0,0
10036,2,5,2,1
5549,2,1,1,0
1825,1,5,1,1
1457,2,5,2,1
1740,1,5,1,1
4630,0,1,0,1
5070,0,5,0,1
14996,0,5,0,1
2868,0,5,0,1
2124,0,5,0,1
12925,2,4,2,1
3012,2,5,2,1
958,0,3,0,1
8935,0,5,2,0
800,2,5,2,1
472,1,5,1,1
8126,2,5,2,1
5701,0,5,0,1
4190,2,5,2,1
7085,2,5,1,0
765,1,3,2,0
5153,1,3,1,1
15287,2,5,0,0
6380,2,5,2,1
6855,1,3,2,0
2539,2,3,0,0
10508,1,5,1,1
6730,2,5,2,1
10796,2,5,2,1
3221,0,5,0,1
5066,2,5,2,1
1178,1,5,1,1
2585,1,5,2,0
3003,0,5,0,1
2926,0,5,0,1
708,1,5,1,1
1213,0,4,1,0
1672,1,5,1,1
2528,2,5,2,1
13644,0,5,0,1
1675,2,4,1,0
4412,1,5,1,1
932,1,5,1,1
2288,0,5,0,1
464,0,5,0,1
3465,1,5,0,0
5589,1,5,1,1
1446,1,5,1,1
2018,0,5,0,1
5800,1,3,1,1
416,1,5,1,1
1897,0,5,2,0
1084,1,5,1,1
1055,0,5,1,0
