id,model_answer,confidence,correct_answer,is_correct
1,1,4,5,0
2,5,5,3,0
3,4,5,4,1
4,2,5,4,0
5,7,5,5,0
6,2,5,0,0
8,4,5,2,0
9,5,5,4,0
10,4,5,5,0
11,3,5,5,0
12,6,5,2,0
13,3,5,7,0
14,3,5,3,1
15,0,5,10,0
16,1,5,1,1
17,4,5,9,0
19,1,5,13,0
21,0,5,0,1
22,2,5,2,1
23,0,5,1,0
24,1,5,4,0
25,4,5,0,0
26,0,5,1,0
27,1,4,0,0
28,0,5,0,1
29,3,4,3,1
30,3,5,2,0
31,0,5,6,0
34,2,5,2,1
35,4,5,9,0
38,0,5,9,0
39,1,5,9,0
41,1,5,4,0
44,9,5,9,1
45,5,4,5,1
46,3,5,1,0
47,1,5,1,1
48,2,3,3,0
49,4,4,6,0
50,1,5,3,0
51,1,5,1,1
52,0,5,0,1
53,8,5,0,0
54,0,5,6,0
55,9,4,8,0
56,0,5,3,0
57,2,4,3,0
58,0,5,5,0
59,3,5,3,1
60,1,5,1,1
61,2,5,0,0
63,4,5,4,1
64,3,5,3,1
65,5,5,2,0
66,3,5,3,1
67,1,5,3,0
68,0,5,5,0
69,0,5,1,0
70,0,5,3,0
71,5,4,5,1
72,0,5,0,1
73,2,5,6,0
74,1,5,5,0
75,2,5,6,0
76,3,5,3,1
77,4,5,4,1
78,7,5,7,1
79,2,5,3,0
80,0,5,5,0
81,6,5,4,0
82,3,5,6,0
83,1,5,4,0
84,2,5,2,1
85,0,5,1,0
86,4,5,0,0
87,2,5,3,0
88,0,5,3,0
89,1,5,0,0
90,5,5,5,1
91,3,5,3,1
92,1,4,6,0
93,1,5,1,1
94,2,5,2,1
95,1,5,4,0
96,0,5,1,0
97,0,5,0,1
98,1,5,4,0
99,2,5,2,1
100,7,5,7,1
101,1,5,1,1
103,3,5,3,1
104,0,5,2,0
105,0,5,0,1
106,0,5,0,1
108,4,5,4,1
109,1,5,1,1
110,2,5,5,0
111,0,5,4,0
112,5,5,5,1
113,6,5,6,1
114,4,5,4,1
115,6,5,6,1
116,5,5,5,1
117,2,4,4,0
118,3,5,0,0
119,5,5,2,0
120,4,5,4,1
121,6,5,5,0
122,3,5,0,0
123,0,5,0,1
124,2,5,2,1
125,2,5,2,1
126,2,5,5,0
127,0,5,5,0
128,0,5,0,1
129,0,4,1,0
130,2,5,2,1
131,1,5,1,1
132,5,5,5,1
133,1,5,1,1
134,1,5,1,1
135,2,5,2,1
136,0,5,0,1
137,4,5,5,0
138,2,5,2,1
139,5,4,1,0
140,1,5,1,1
141,3,5,3,1
142,0,5,4,0
143,2,4,4,0
144,4,5,6,0
145,9,5,9,1
146,3,5,4,0
147,3,5,1,0
148,2,5,2,1
149,1,4,1,1
150,1,4,2,0
151,0,5,1,0
152,0,5,2,0
153,0,4,1,0
154,2,5,3,0
155,3,5,0,0
156,4,5,3,0
157,2,5,0,0
158,0,4,0,1
161,2,5,8,0
162,3,5,5,0
163,6,5,2,0
164,7,4,1,0
165,2,4,2,1
166,5,5,2,0
167,0,5,2,0
168,1,5,3,0
169,0,5,3,0
170,3,5,8,0
171,0,5,0,1
172,3,4,3,1
173,3,4,3,1
174,3,5,4,0
175,6,5,3,0
176,2,4,4,0
177,1,4,0,0
178,3,5,4,0
179,3,5,3,1
180,0,4,0,1
181,3,4,3,1
183,5,4,2,0
184,0,5,0,1
185,4,5,5,0
186,1,5,1,1
187,0,4,0,1
188,1,5,1,1
189,0,5,3,0
190,3,5,0,0
191,4,5,6,0
192,3,4,2,0
193,3,5,6,0
194,3,4,3,1
195,2,5,2,1
196,4,5,0,0
197,1,5,4,0
198,7,5,7,1
199,3,5,5,0
200,2,5,2,1
201,0,4,4,0
202,0,4,4,0
203,2,5,6,0
204,1,5,1,1
205,3,5,4,0
206,1,5,0,0
207,4,5,0,0
208,8,4,4,0
210,4,5,4,1
211,8,5,8,1
212,1,5,1,1
213,4,5,2,0
214,5,5,7,0
215,3,5,6,0
216,2,5,9,0
217,1,5,3,0
219,6,5,4,0
220,3,4,6,0
221,4,5,4,1
222,2,5,7,0
223,3,5,0,0
224,0,5,10,0
225,0,5,0,1
226,2,5,1,0
227,4,5,3,0
228,0,5,3,0
229,2,5,5,0
230,1,4,4,0
231,0,5,1,0
232,3,5,4,0
233,6,5,6,1
234,0,5,1,0
235,1,5,1,1
236,1,5,0,0
237,1,5,5,0
238,2,4,3,0
239,2,5,3,0
240,1,5,2,0
