id,model_answer,confidence,correct_answer,is_correct
51953,1,5,4,0
49919,4,3,4,1
52723,2,4,1,0
48612,3,5,4,0
48736,0,5,0,1
52029,1,5,1,1
53047,0,4,0,1
52962,2,1,3,0
48885,1,3,1,1
48854,2,5,2,1
52433,1,5,3,0
48828,0,5,0,1
52890,3,5,3,1
49342,2,5,1,0
51308,1,3,2,0
48098,3,1,3,1
52020,3,5,3,1
52756,4,5,4,1
50999,2,4,4,0
49780,2,5,2,1
51149,4,5,4,1
49675,3,5,3,1
49848,0,5,0,1
51288,2,4,2,1
49917,3,5,3,1
49213,3,5,3,1
47953,4,4,3,0
51805,2,5,4,0
52103,3,5,3,1
50656,3,5,3,1
50313,3,2,4,0
50004,4,5,4,1
52609,2,5,2,1
52379,2,5,2,1
50663,1,5,1,1
49069,2,5,1,0
52801,0,5,0,1
52988,0,2,0,1
48124,4,5,4,1
48813,4,5,4,1
49557,4,5,4,1
51024,2,4,1,0
50205,2,5,2,1
51494,1,5,4,0
51219,4,5,4,1
49282,3,5,3,1
51056,4,5,4,1
52285,2,5,2,1
49401,2,5,2,1
49716,0,5,0,1
52649,3,5,3,1
52401,1,5,1,1
50354,1,5,0,0
49874,3,5,4,0
49192,3,5,3,1
48414,3,5,3,1
49254,0,5,0,1
50749,1,4,3,0
49522,2,5,3,0
53072,4,5,0,0
49700,3,4,3,1
48521,3,5,2,0
48286,4,5,4,1
48257,1,5,1,1
52242,3,5,3,1
49819,4,5,4,1
50758,3,5,3,1
49152,4,5,0,0
48064,4,5,4,1
52990,3,5,3,1
48928,3,5,0,0
51426,3,5,4,0
52941,3,5,3,1
52533,2,4,4,0
49410,1,4,1,1
51828,1,4,1,1
51098,3,5,3,1
47854,2,4,2,1
50609,3,5,1,0
50834,4,5,4,1
53132,2,3,2,1
51826,1,5,1,1
50848,3,5,0,0
52651,2,5,2,1
49120,2,5,3,0
47882,4,5,4,1
48879,2,5,2,1
50647,3,5,3,1
52112,2,5,2,1
48755,2,5,2,1
53100,1,5,0,0
50474,3,5,3,1
49169,0,5,2,0
51684,3,4,3,1
47861,4,5,0,0
50586,3,3,2,0
52574,3,3,3,1
52115,2,5,2,1
50925,0,5,0,1
50718,1,5,1,1
50632,2,5,2,1
49501,0,5,3,0
48265,4,5,4,1
49425,1,5,1,1
49857,2,5,2,1
51778,0,5,0,1
50377,2,5,2,1
50716,1,4,4,0
51627,1,5,1,1
50067,1,5,1,1
51942,3,5,3,1
50711,2,5,1,0
51151,2,5,2,1
50254,4,5,4,1
48109,4,5,4,1
49270,0,4,0,1
52038,0,5,0,1
52376,4,5,4,1
48469,3,3,4,0
49229,1,5,0,0
47831,3,5,2,0
51431,2,5,1,0
51347,2,5,2,1
51892,4,5,4,1
48073,3,5,3,1
49194,1,3,1,1
49145,0,3,0,1
52523,2,5,2,1
51895,2,5,2,1
52875,1,5,0,0
51838,3,5,3,1
51216,3,5,0,0
51677,4,5,4,1
50037,3,5,3,1
50320,1,5,1,1
51088,3,5,0,0
50204,2,5,1,0
51495,3,5,0,0
47967,1,5,0,0
52924,2,5,1,0
48628,1,5,1,1
50907,2,5,2,1
50509,4,5,4,1
48389,2,5,2,1
50005,1,5,1,1
50464,3,4,3,1
52832,2,5,2,1
51642,2,5,0,0
48207,1,5,1,1
51529,4,5,3,0
50369,0,5,0,1
47955,1,5,1,1
49215,4,5,4,1
50681,1,5,1,1
50126,4,5,4,1
52964,0,5,2,0
52840,4,5,4,1
51146,0,5,0,1
50863,4,5,1,0
48503,4,5,4,1
48614,1,5,0,0
51637,4,5,4,1
52028,4,5,3,0
48883,0,5,0,1
47878,3,5,3,1
51008,4,5,4,1
49880,4,3,3,0
51992,0,5,0,1
51150,2,4,2,1
51074,3,5,2,0
47869,3,3,4,0
48569,2,5,2,1
49748,0,5,0,1
48050,1,5,1,1
52975,4,5,4,1
52748,4,5,4,1
48340,0,5,0,1
48264,2,5,2,1
51595,0,5,0,1
52907,2,3,4,0
50641,3,5,3,1
52900,4,4,4,1
50646,0,5,0,1
53025,4,5,4,1
48022,3,5,2,0
49797,1,5,2,0
48211,0,5,1,0
49451,1,5,1,1
52619,4,5,4,1
52741,0,3,0,1
52037,3,4,3,1
51978,0,5,0,1
49657,0,5,0,1
49591,2,5,2,1
52708,0,5,0,1
49773,3,5,2,0
49312,1,4,0,0
49816,4,5,4,1
51904,2,5,2,1
47855,0,5,3,0
52005,2,5,2,1
50835,2,3,4,0
53133,4,5,4,1
49681,3,5,3,1
52418,4,5,0,0
50849,1,5,2,0
50511,3,3,1,0
51730,3,5,0,0
50606,0,5,0,1
49947,4,5,4,1
49243,1,4,3,0
50028,2,5,0,0
48984,1,5,1,1
51162,1,5,1,1
48141,2,5,2,1
49864,2,5,2,1
50395,3,5,3,1
49625,0,5,0,1
52504,4,5,4,1
50146,3,5,2,0
48847,2,5,3,0
48896,2,5,1,0
48606,1,5,1,1
52883,1,5,1,1
51622,4,5,4,1
48260,3,5,3,1
48601,1,5,1,1
48177,1,5,1,1
51532,1,3,0,0
51416,0,5,0,1
48891,0,5,0,1
51773,2,3,2,1
49661,2,5,2,1
48212,3,5,3,1
50639,4,3,4,1
51932,4,5,2,0
51369,3,5,3,1
50148,3,5,3,1
50010,4,5,4,1
50307,3,5,3,1
51811,0,5,0,1
49048,3,5,3,1
50555,1,5,1,1
47996,3,5,0,0
49110,0,5,0,1
49777,2,5,2,1
51858,3,5,3,1
52869,1,5,3,0
49936,2,5,2,1
49869,3,5,1,0
49543,3,5,3,1
52159,1,4,2,0
52460,3,5,3,1
48409,0,5,0,1
51662,0,5,0,1
48284,2,5,2,1
48523,1,4,0,0
48142,3,4,3,1
48255,2,3,0,0
51166,0,1,3,0
50174,0,5,0,1
48699,3,5,3,1
50515,2,5,2,1
49008,0,5,4,0
48066,4,5,4,1
49291,1,5,1,1
48061,1,5,1,1
49412,3,5,3,1
52287,3,5,4,0
51435,3,5,2,0
51896,1,5,1,1
52372,0,5,2,0
52404,1,5,0,0
48153,4,5,4,1
49983,1,5,1,1
51395,2,5,2,1
52984,0,5,0,1
48005,2,3,0,0
49920,2,4,4,0
51832,4,5,4,1
52803,2,5,2,1
50323,4,5,1,0
52289,3,5,3,1
48002,1,5,1,1
52754,3,5,3,1
50159,2,5,2,1
49677,2,5,2,1
48278,1,5,1,1
52106,3,4,4,0
48619,3,4,3,1
48327,1,5,1,1
52912,0,5,0,1
50592,1,5,1,1
48114,4,5,4,1
48329,1,4,3,0
48734,3,5,3,1
50008,3,5,3,1
52605,4,5,3,0
50247,3,5,3,1
48733,0,3,2,0
