id,model_answer,confidence,correct_answer,is_correct
306,3,5,3,1
198,3,5,3,1
149,1,5,1,1
222,0,5,0,1
135,1,5,1,1
73,0,5,0,1
225,2,5,2,1
132,1,5,1,1
74,3,5,3,1
301,0,5,0,1
259,3,5,3,1
288,3,5,3,1
373,1,5,1,1
257,1,4,0,0
191,0,5,0,1
140,2,5,2,1
286,1,5,1,1
308,3,5,3,1
250,0,5,0,1
196,3,5,3,1
147,3,5,3,1
281,3,5,3,1
374,3,5,3,1
34,3,5,3,1
172,1,5,1,1
265,2,5,2,1
341,0,5,3,0
390,2,5,2,1
48,2,5,3,0
99,2,5,2,1
219,3,5,3,1
346,0,5,0,1
397,1,5,1,1
109,3,5,3,1
33,1,5,1,1
175,2,5,2,1
262,3,5,3,1
348,3,5,3,1
41,0,5,0,1
107,0,5,0,1
210,0,5,0,1
90,3,4,3,1
334,3,5,3,1
333,3,5,3,1
46,3,5,3,1
100,3,5,3,1
217,3,5,3,1
97,3,4,3,1
322,0,5,0,1
206,3,5,3,1
86,2,5,2,1
57,2,5,1,0
111,1,5,1,1
4,0,5,1,0
201,0,5,0,1
81,1,5,0,0
50,1,5,1,1
116,2,5,2,1
388,2,5,2,1
359,3,5,2,0
3,3,5,0,0
325,0,3,0,1
118,2,5,2,1
386,3,5,3,1
357,1,5,1,1
273,2,5,2,1
22,1,5,1,1
164,2,5,2,1
274,3,5,3,1
25,0,5,0,1
163,0,5,0,1
88,0,5,0,1
208,2,4,0,0
59,3,5,3,1
381,2,5,2,1
350,0,5,0,1
156,1,5,1,1
10,0,5,0,1
290,3,5,3,1
241,3,5,3,1
187,1,5,1,1
319,3,5,3,1
365,3,5,3,1
362,2,5,2,1
151,0,5,0,1
17,3,5,3,1
297,2,5,2,1
246,2,5,2,1
180,3,5,3,1
123,2,5,0,0
65,3,5,3,1
234,3,5,3,1
299,1,5,1,1
19,1,5,1,1
248,2,4,2,1
310,3,5,3,1
158,2,5,2,1
189,2,5,2,1
317,2,5,2,1
124,2,5,2,1
62,0,5,3,0
233,1,5,1,1
332,3,5,3,1
47,0,5,0,1
101,0,5,0,1
96,2,5,3,0
216,1,5,1,1
349,3,5,3,1
40,0,5,0,1
106,3,5,3,1
91,0,5,0,1
211,1,5,1,1
335,3,5,3,1
347,3,5,3,1
396,3,5,3,1
108,2,5,0,0
32,3,5,3,1
174,3,5,2,0
263,0,5,0,1
35,2,5,2,1
173,3,5,3,1
264,3,5,3,1
340,0,5,0,1
391,1,5,1,1
49,2,5,1,0
218,1,5,1,1
98,3,5,3,1
309,1,5,1,1
251,3,5,3,1
197,1,5,1,1
146,3,5,3,1
280,1,5,1,1
375,0,5,0,1
372,3,5,3,1
256,3,5,3,1
190,1,5,1,1
141,1,5,1,1
287,1,5,1,1
224,3,5,3,1
133,2,5,2,1
75,3,5,3,1
300,1,5,1,1
258,1,5,1,1
289,1,5,1,1
307,3,5,3,1
199,2,5,2,1
148,0,5,0,1
223,1,4,1,1
134,3,5,3,1
72,0,5,0,1
159,0,5,0,1
188,3,5,3,1
316,3,5,3,1
125,2,5,2,1
63,0,5,0,1
232,3,5,3,1
122,3,5,3,1
